"model_id","mean_per_class_error","logloss","rmse","mse"
"XGBoost_grid__1_AutoML_20200129_192002_model_5",0.646927630657139,1.08996647715444,0.647231098027865,0.418908094254355
"XRT_1_AutoML_20200129_192002",0.64909030404932,2.05634245093132,0.623386003963263,0.388610109937285
"DeepLearning_1_AutoML_20200129_192002",0.650556080986409,1.16014098142667,0.645244324165343,0.41634023786759
"XGBoost_1_AutoML_20200129_192002",0.652188419503993,1.09523667625461,0.644798143564888,0.415764645944726
"GBM_5_AutoML_20200129_192002",0.654690346083789,1.07473453930719,0.625379563007518,0.391099597827475
"GBM_grid__1_AutoML_20200129_192002_model_7",0.657756585400028,1.15912442492346,0.631121003605311,0.398313721191775
"DRF_1_AutoML_20200129_192002",0.658902199803839,1.92294292744009,0.628085004389173,0.394490772738547
"XGBoost_grid__1_AutoML_20200129_192002_model_3",0.660109464761104,1.09240783094761,0.646846217327231,0.418410028870547
"GBM_grid__1_AutoML_20200129_192002_model_12",0.660385140815469,1.09341832975438,0.62214461746029,0.387063925034811
"GBM_grid__1_AutoML_20200129_192002_model_6",0.660647856242119,1.18037787081473,0.629651306923377,0.396460768310317
"GBM_3_AutoML_20200129_192002",0.667287025360796,1.18167948449707,0.629177404013578,0.395864205721266
"GBM_grid__1_AutoML_20200129_192002_model_5",0.668611636541964,1.1648817531178,0.634166630019808,0.40216731463068
"GLM_1_AutoML_20200129_192002",0.670126453692028,1.08727525198787,0.637524938209605,0.406438046839161
"GBM_grid__1_AutoML_20200129_192002_model_4",0.670793225444865,1.10237990654004,0.634431175485699,0.402502916428166
"StackedEnsemble_BestOfFamily_AutoML_20200129_192002",0.678596924478072,1.12624261501178,0.646466525526409,0.417918968626187
"XGBoost_grid__1_AutoML_20200129_192002_model_4",0.708727581616926,1.20271968937169,0.695208003540256,0.483314168186428
"DeepLearning_grid__3_AutoML_20200129_192002_model_8",0.70944952360936,1.65391276699438,0.69752313239624,0.486538520227862
"GBM_grid__1_AutoML_20200129_192002_model_10",0.738954918032787,1.10656333810724,0.649804669179225,0.422246108087122
"GBM_grid__1_AutoML_20200129_192002_model_11",0.75,1.13660990456264,0.66113118514712,0.437094443974036
"GBM_grid__1_AutoML_20200129_192002_model_8",0.75,1.1479892396877,0.665664472871496,0.443109190443287
"StackedEnsemble_AllModels_AutoML_20200129_192002",0.75,1.16285978178968,0.670520838329814,0.449598194634516
"GBM_grid__1_AutoML_20200129_192002_model_2",0.75,1.14395675595683,0.662475066139493,0.438873213256526
"GBM_grid__1_AutoML_20200129_192002_model_9",0.75,1.12831218501995,0.656671767336652,0.431217810017042
"GBM_grid__1_AutoML_20200129_192002_model_1",0.75,1.16472743903366,0.67095328732971,0.450178313778545
