"model_id","mean_per_class_error","logloss","rmse","mse"
"DeepLearning_grid__2_AutoML_20200129_192002_model_4",0.520760473588342,1.4805432660343,0.628067626286684,0.39446894318939
"DeepLearning_grid__3_AutoML_20200129_192002_model_6",0.522825066554575,3.00699436092668,0.668618335039484,0.447050477950972
"DeepLearning_grid__3_AutoML_20200129_192002_model_4",0.528468369062631,1.27413944801704,0.637783397223779,0.406767661774305
"DeepLearning_grid__2_AutoML_20200129_192002_model_3",0.528968228947737,1.20260206657066,0.634305247763153,0.402343147339875
"DeepLearning_grid__2_AutoML_20200129_192002_model_15",0.529700679557237,1.09656575783909,0.630543297232076,0.397584849684298
"DeepLearning_grid__3_AutoML_20200129_192002_model_13",0.531168558217739,1.10259680077948,0.635729245756847,0.40415167391057
"DeepLearning_grid__1_AutoML_20200129_192002_model_3",0.537055660641726,1.33687550649233,0.632221433023889,0.399703940374779
"DeepLearning_grid__2_AutoML_20200129_192002_model_7",0.538810074260894,1.14709398288639,0.636907589509734,0.4056512775751
"DeepLearning_grid__3_AutoML_20200129_192002_model_19",0.544588412498249,1.19978741890384,0.652362859326132,0.425577300228167
"DeepLearning_grid__1_AutoML_20200129_192002_model_7",0.545299145299145,2.02988601364564,0.628225860158674,0.394667731372105
"DeepLearning_grid__1_AutoML_20200129_192002_model_1",0.547748178506375,1.32252510006909,0.63413603722611,0.402128513708834
"DeepLearning_grid__3_AutoML_20200129_192002_model_9",0.551660361496427,1.36360596099004,0.644221223839342,0.415020985245059
"DeepLearning_grid__3_AutoML_20200129_192002_model_7",0.553192693008267,1.62182106566883,0.674406491015038,0.454824115123216
"DeepLearning_grid__2_AutoML_20200129_192002_model_2",0.555980804259493,1.38007221748281,0.627608541547862,0.393892481423835
"DeepLearning_grid__2_AutoML_20200129_192002_model_11",0.556800826677876,1.12792737118234,0.639640059898106,0.409139406226453
"DeepLearning_grid__2_AutoML_20200129_192002_model_6",0.560459401709402,1.2694879623363,0.639644834984589,0.409145514922462
