"scientificName","decimalLongitude","decimalLatitude"
"Acanthastrea echinata",150.8785,-23.2416
"Acanthastrea echinata",120.7703,21.9519
"Acanthastrea echinata",150.9634,-23.2163
"Acanthastrea echinata",116.7167,-20.6666
"Acanthastrea echinata",48.2347,-13.1914
"Acanthastrea echinata",145.8509,17.3058
"Acanthastrea echinata",151.8,-21.833
"Acanthastrea echinata",145.45,-14.6476
"Acanthastrea echinata",151.7,-23.3
"Acanthastrea echinata",150.9054,-23.0865
"Acanthastrea echinata",55.2306,-20.6153
"Acanthastrea echinata",146.5,-18.6667
"Acanthastrea echinata",43.4927,-11.9432
"Acanthastrea echinata",145.8045,-15.7137
"Acanthastrea echinata",113.7,-28.47
"Acanthastrea echinata",93,10
"Acanthastrea echinata",124.977,-14.4476
"Acanthastrea echinata",162.3956,11.4511
"Acanthastrea echinata",145.7696,15.156
"Acanthastrea echinata",-176.48,0.19
"Acanthastrea echinata",145.6403,18.7574
"Acanthastrea echinata",40.6851,-11.015
"Acanthastrea echinata",146.1958,-17.0607
"Acanthastrea echinata",-161.02,-10.4433
"Acanthastrea echinata",134.5482,7.2623
"Acanthastrea echinata",48.5953,-12.8269
"Acanthastrea echinata",145.461,-14.6999
"Acanthastrea echinata",145.62,-14.58
"Acanthastrea echinata",121.75,-14.01
"Acanthastrea echinata",145.7886,16.6986
"Acanthastrea echinata",148.95,-20.0667
"Acanthastrea echinata",152.42,-21.73
"Acanthastrea echinata",144.8403,13.632
"Acanthastrea echinata",146.2918,-18.1492
"Acanthastrea echinata",48.02,-13.5297
"Acanthastrea echinata",145.6718,-16.214
"Acanthastrea echinata",-149.8392,-17.4747
"Acanthastrea echinata",153.2483,-27.4217
"Acanthastrea echinata",144.07,-9.92
"Acanthastrea echinata",-160.9945,-10.4522
"Acanthastrea echinata",153.375,-27.5
"Acanthastrea echinata",124.9933,-14.475
"Acanthastrea echinata",145.843,-16.0732
"Acanthastrea echinata",145.473,-14.6801
"Acanthastrea echinata",145.7063,15.1081
"Acanthastrea echinata",146.1438,-17.9573
"Acanthastrea echinata",120.8613,21.9078
"Acanthastrea echinata",148.6578,-20.1085
"Acanthastrea echinata",153.4667,-26.9833
"Acanthastrea echinata",145.7712,16.6988
"Acanthastrea echinata",145.7649,18.0966
"Acanthastrea echinata",146.503,-18.657
"Acanthastrea echinata",47.25,-11.55
"Acanthastrea echinata",35.2,-24.35
"Acanthastrea echinata",145.478,-14.6713
"Acanthastrea echinata",153.2667,-27.4883
"Acanthastrea echinata",116.7875,-20.5033
"Acanthastrea echinata",48.0272,-13.5528
"Acanthastrea echinata",120.8293,21.9235
"Acanthastrea echinata",145.446,-14.6639
"Acanthastrea echinata",73.06,8.27
"Acanthastrea echinata",57.3575,-20.3808
"Acanthastrea echinata",32.739,-27.487
"Acanthastrea echinata",145.6652,-16.267
"Acanthastrea echinata",39.73,-4.02
"Acanthastrea echinata",166.5982,19.3165
"Acanthastrea echinata",145.4313,-15.6382
"Acanthastrea echinata",166.6119,19.3254
"Acanthastrea echinata",146.007,-17.1621
"Acanthastrea echinata",39.75,-8.1
"Acanthastrea echinata",35.7264,27.1364
"Acanthastrea echinata",166.6275,19.2801
"Acanthastrea echinata",151.916,-23.45
"Acanthastrea echinata",146.046,-16.5513
"Acanthastrea echinata",142.81,-10.2
"Acanthastrea echinata",151.8,-21.83
"Acanthastrea echinata",151.95,-23.45
"Acanthastrea echinata",145.2298,20.0226
"Acanthastrea echinata",145.471,-14.6587
"Acanthastrea echinata",145.5667,-16.3833
"Acanthastrea echinata",145.44,-14.6839
"Acanthastrea echinata",166.6574,19.2873
"Acanthastrea echinata",171.75,7.1
"Acanthastrea echinata",145.3936,19.7017
"Acanthastrea echinata",148.481,-20.0657
"Acanthastrea echinata",48.6175,-12.8264
"Acanthastrea echinata",130.85,-12.3467
"Acanthastrea echinata",48.0578,-13.3997
"Acanthastrea echinata",130.3,31.25
"Acanthastrea echinata",116.63,-20.53
"Acanthastrea echinata",145.4717,19.7986
"Acanthastrea echinata",146.4317,-18.8117
"Acanthastrea echinata",179.43,-17.85
"Acanthastrea echinata",145.8181,17.5869
"Acanthastrea echinata",146.0917,-17.22
"Acanthastrea echinata",148.904,-20.147
"Acanthastrea echinata",143.7857,-12.3945
"Acanthastrea echinata",153.2667,-27.4933
"Acanthastrea echinata",115.731,-21.1358
"Acanthastrea echinata",148.8864,-20.3754
"Acanthastrea echinata",131.3,25.95
"Acanthastrea echinata",153.3833,-27.5183
"Acanthastrea echinata",41.02,-2.1
"Acanthastrea echinata",145.4622,-15.7433
"Acanthastrea echinata",116.7781,-20.3866
"Acanthastrea echinata",148.92,-20.12
"Acanthastrea echinata",145.7446,15.0986
"Acanthastrea echinata",116.7833,-20.5833
"Acanthastrea echinata",72.5,11
"Acanthastrea echinata",144.1167,-14.3333
"Acanthastrea echinata",125.5817,3.735
"Acanthastrea echinata",145.6877,18.7978
"Acanthastrea echinata",145.4,-14.7
"Acanthastrea echinata",48.2222,-13.2536
"Acanthastrea echinata",145.6597,-16.2623
"Acanthastrea echinata",-161.0133,-10.41
"Acanthastrea echinata",55.4,-21.1
"Acanthastrea echinata",145.9633,-16.7503
"Acanthastrea echinata",134.1617,-3.9083
"Acanthastrea echinata",152.4167,-21.7333
"Acanthastrea echinata",133.9267,-3.815
"Acanthastrea echinata",148.6243,-20.0153
"Acanthastrea echinata",145.45,-15.75
"Acanthastrea echinata",146.596,-18.693
"Acanthastrea echinata",120.7,-9.9
"Acanthastrea echinata",145.6941,18.7482
"Acanthastrea echinata",113.77,-28.73
"Acanthastrea echinata",46.28,-9.4
"Acanthastrea echinata",144.17,-9.89
"Acanthastrea echinata",145.466,-14.6935
"Acanthastrea echinata",148.8122,-20.2534
"Acanthastrea echinata",54.0433,12.6683
"Acanthastrea echinata",145.6427,-16.1188
"Acanthastrea echinata",145.491,-14.651
"Acanthastrea echinata",145.6167,-14.6
"Acanthastrea echinata",144.4948,-13.967
"Acanthastrea echinata",166.6074,19.2917
"Acanthastrea echinata",159.0667,-29.9333
"Acanthastrea echinata",152.415,-21.737
"Acanthastrea echinata",145.467,-14.6889
"Acanthastrea echinata",51.5,-10.2
"Acanthastrea echinata",145.44,-14.6836
"Acanthastrea echinata",149.0745,-20.1613
"Acanthastrea echinata",-144.3333,-27.4667
"Acanthastrea echinata",145.2273,20.0308
"Acanthastrea echinata",126.6,-13.8666
"Acanthastrea echinata",116.7953,-20.4863
"Acanthastrea echinata",149.0547,-20.2927
"Acanthastrea echinata",150.6667,-20.9667
"Acanthastrea echinata",148.6278,-20.0212
"Acanthastrea echinata",151.905,-23.449
"Acanthastrea echinata",148.9748,-20.1755
"Acanthastrea echinata",152.083,-23.5
"Acanthastrea echinata",48.1847,-13.3092
"Acanthastrea echinata",145.4646,-16.1079
"Acanthastrea echinata",59.63,-16.61
"Acanthastrea echinata",145.7557,18.1194
"Acanthastrea echinata",34.9,-24.72
"Acanthastrea echinata",144,-11.75
"Acanthastrea echinata",114.17,-21.85
"Acanthastrea echinata",148.6087,-20.102
"Acanthastrea echinata",116.8447,-20.4136
"Acanthastrea echinata",145.7753,16.7164
"Acanthastrea echinata",145.502,-16.3021
"Acanthastrea echinata",145.9973,-16.7663
"Acanthastrea echinata",145.7657,-16.1138
"Acanthastrea echinata",145.7864,15.2191
"Acanthastrea echinata",-160.97,-10.4467
"Acanthastrea echinata",150.508,-21.013
"Acanthastrea echinata",145.4833,-14.65
"Acanthastrea echinata",179.216,-8.516
"Acanthastrea echinata",146.4324,-18.8115
"Acanthastrea echinata",145.8323,17.3169
"Acanthastrea echinata",146.1372,-17.9233
"Acanthastrea echinata",153.2417,-27.4533
"Acanthastrea echinata",120.7036,21.995
"Acanthastrea echinata",148.4972,-20.0802
"Acanthastrea echinata",145.2087,20.0135
"Acanthastrea echinata",120.7152,21.9725
"Acanthastrea echinata",148.8873,-20.1657
"Acanthastrea echinata",132.8317,-3.9367
"Acanthastrea echinata",119.3431,-4.9581
"Acanthastrea echinata",124.1333,-15.9166
"Acanthastrea echinata",146.0768,-17.2041
"Acanthastrea echinata",165.289,11.696
"Acanthastrea echinata",-160.9728,-10.4483
"Acanthastrea echinata",145.617,-14.571
"Acanthastrea echinata",143.02,-9.8
"Acanthastrea echinata",117.0703,-20.4283
"Acanthastrea echinata",145.3933,-14.7053
"Acanthastrea echinata",149.0097,-20.1723
"Acanthastrea echinata",149.0322,-20.3065
"Acanthastrea echinata",145.9965,-16.7572
"Acanthastrea echinata",146.511,-18.659
"Acanthastrea echinata",40.45,-10.27
"Acanthastrea echinata",130.817,-12.4167
"Acanthastrea echinata",53.33,-5.41
"Acanthastrea echinata",146.1433,-17.9567
"Acanthastrea echinata",105.5328,-10.5126
"Acanthastrea echinata",103,5.783
"Acanthastrea echinata",-160.9983,-10.4505
"Acanthastrea echinata",119.2856,-5.1047
"Acanthastrea echinata",39.6,-8.5
"Acanthastrea echinata",145.447,-14.6988
"Acanthastrea echinata",43.33,11.5
"Acanthastrea echinata",116.8531,-20.5205
"Acanthastrea echinata",121.1,-6.4
"Acanthastrea echinata",146.0768,-17.204
"Acanthastrea echinata",40.7055,-14.3762
"Acanthastrea echinata",116.8953,-20.4094
"Acanthastrea echinata",144.05,-11.8
"Acanthastrea echinata",123.0734,-12.1748
"Acanthastrea echinata",151.8833,-23.4833
"Acanthastrea echinata",145.4167,-15.1333
"Acanthastrea echinata",-162.37,6.41
"Acanthastrea echinata",145.623,-14.597
"Acanthastrea echinata",152.4167,-21.5
"Acanthastrea echinata",146.483,-18.6
"Acanthastrea echinata",40.92,-2.36
"Acanthastrea echinata",146.007,-17.1622
"Acanthastrea echinata",146.0058,-17.16
"Acanthastrea echinata",118.25,-8.2
"Acanthastrea echinata",120.7697,21.9524
"Acanthastrea echinata",45.12,-12.78
"Acanthastrea echinata",56.35,26.88
"Acanthastrea echinata",113.75,-22
"Acanthastrea echinata",153.3517,-27.4833
"Acanthastrea echinata",130.03,32.5
"Acanthastrea echinata",105.7082,-10.4636
"Acanthastrea echinata",145.468,-14.688
"Acanthastrea echinata",145.4472,-14.6976
"Acanthastrea echinata",143.1167,-9.5833
"Acanthastrea echinata",148.8032,-20.3017
"Acanthastrea echinata",143.85,-9.75
"Acanthastrea echinata",119.17,-4.8
"Acanthastrea echinata",120.5,-6.3
"Acanthastrea echinata",49.07,-12.13
"Acanthastrea echinata",145.462,-14.65
"Acanthastrea echinata",145.2276,20.0135
"Acanthastrea echinata",144.8154,-14.4251
"Acanthastrea echinata",119.3439,-5.1236
"Acanthastrea echinata",124.9789,-14.5074
"Acanthastrea echinata",134.9417,-0.95
"Acanthastrea echinata",41.4,-1.8
"Acanthastrea echinata",146.566,-18.686
"Acanthastrea hemprichii",149.3886,-20.9112
"Acanthastrea hemprichii",148.7113,-20.1057
"Acanthastrea hemprichii",150.9746,-23.2074
"Acanthastrea hemprichii",149.4431,-20.9037
"Acanthastrea hemprichii",146.0058,-17.16
"Acanthastrea hemprichii",146.163,-17.9611
"Acanthastrea hemprichii",146.3878,-17.7095
"Acanthastrea hemprichii",145.9633,-16.7503
"Acanthastrea hemprichii",145.7622,-16.1272
"Acanthastrea hemprichii",148.8864,-20.3754
"Acanthastrea hemprichii",146.0905,-17.2265
"Acanthastrea hemprichii",48.7033,-12.4583
"Acanthastrea hemprichii",40.45,-10.27
"Acanthastrea hemprichii",145.4458,-15.643
"Acanthastrea hemprichii",159.2,-29.5
"Acanthastrea hemprichii",145.5058,-16.3048
"Acanthastrea hemprichii",135.5,33.55
"Acanthastrea hemprichii",124.9733,-14.5083
"Acanthastrea hemprichii",148.5138,-20.0813
"Acanthastrea hemprichii",38.29,21.55
"Acanthastrea hemprichii",145.843,-16.406
"Acanthastrea hemprichii",149.432,-20.9034
"Acanthastrea hemprichii",146.8546,-19.1637
"Acanthastrea hemprichii",48.6175,-12.8264
"Acanthastrea hemprichii",145.8333,-16.4
"Acanthastrea hemprichii",39.6,-8.5
"Acanthastrea hemprichii",146.077,-17.2033
"Acanthastrea hemprichii",54.075,12.6783
"Acanthastrea hemprichii",149.019,-20.2402
"Acanthastrea hemprichii",146.5675,-17.575
"Acanthastrea hemprichii",148.4878,-20.0773
"Acanthastrea hemprichii",146.0759,-17.2125
"Acanthastrea hemprichii",48.5447,-13.0397
"Acanthastrea hemprichii",146.1458,-17.9261
"Acanthastrea hemprichii",148.7132,-20.1127
"Acanthastrea hemprichii",48.2347,-13.1914
"Acanthastrea hemprichii",149.4174,-20.9074
"Acanthastrea hemprichii",148.7983,-20.3009
"Acanthastrea hemprichii",146.0092,-17.1652
"Acanthastrea hemprichii",145.9373,-16.6858
"Acanthastrea hemprichii",145.478,-14.6713
"Acanthastrea hemprichii",145.6365,-16.1143
"Acanthastrea hemprichii",54.0433,12.6683
"Acanthastrea hemprichii",145.6885,-16.4422
"Acanthastrea hemprichii",145.9448,-16.6517
"Acanthastrea hemprichii",145.6792,-16.7348
"Acanthastrea hemprichii",48.0578,-13.3997
"Acanthastrea hemprichii",148.9513,-20.3083
"Acanthastrea hemprichii",145.5485,-15.726
"Acanthastrea hemprichii",150.9054,-23.0865
"Acanthastrea hemprichii",48.6625,-12.4261
"Acanthastrea hemprichii",93,10
"Acanthastrea hemprichii",148.515,-20.0795
"Acanthastrea hemprichii",48.2442,-13.4856
"Acanthastrea hemprichii",148.8884,-20.378
"Acanthastrea hemprichii",148.8032,-20.3017
"Acanthastrea hemprichii",149.4168,-20.9106
"Acanthastrea hemprichii",146.0788,-17.2035
"Acanthastrea hemprichii",146.3845,-17.7137
"Acanthastrea hemprichii",149.0555,-20.3083
"Acanthastrea hemprichii",146.43,-18.8116
"Acanthastrea hemprichii",149.2677,-20.7968
"Acanthastrea hemprichii",151.73,7.33
"Acanthastrea hemprichii",145.3633,-15.7173
"Acanthastrea hemprichii",145.5577,-16.3863
"Acanthastrea hemprichii",148.4972,-20.0802
"Acanthastrea hemprichii",145.507,-16.3018
