"scientificName","decimalLongitude","decimalLatitude","depth","symbio"
"Acropora divaricata",159.15,-31.46667,NA,"z"
"Acropora divaricata",159.04667,-31.52167,NA,"z"
"Acropora divaricata",159.05167,-31.51833,NA,"z"
"Acropora donei",131.03916,31.82055,NA,"z"
"Acropora glauca",159.07,-31.53833,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",132.73306,32.77917,NA,"z"
"Acropora glauca",159.1499939,-31.46999931,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.1499939,-31.46999931,NA,"z"
"Acropora glauca",159.149993896,-31.4699993134,NA,"z"
"Acropora glauca",159.04667,-31.52167,NA,"z"
"Acropora glauca",132.74083,32.77167,NA,"z"
"Acropora glauca",132.73306,32.77917,NA,"z"
"Acropora glauca",135.74333,33.48027,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.1499939,-31.46999931,NA,"z"
"Acropora glauca",159.149993896,-31.4699993134,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.1499939,-31.46999931,NA,"z"
"Acropora glauca",132.73306,32.77917,NA,"z"
"Acropora glauca",159.05167,-31.51833,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.149993896,-31.4699993134,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.15,-31.46667,NA,"z"
"Acropora glauca",159.07166,-31.55166,NA,"z"
"Acropora glauca",159.1499939,-31.46999931,NA,"z"
"Acropora glauca",159.05167,-31.51833,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.05,-31.528,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",135.32444,33.68638,NA,"z"
"Acropora glauca",159.04667,-31.52167,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.05167,-31.51833,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",132.73306,32.77917,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.04667,-31.52167,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",132.73306,32.77917,NA,"z"
"Acropora glauca",159.15,-31.46667,NA,"z"
"Acropora glauca",159.04667,-31.52167,NA,"z"
"Acropora glauca",135.74333,33.48027,NA,"z"
"Acropora glauca",159.06833,-31.37166,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",115.5,-32.0169,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",132.70972,32.79722,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.06833,-31.37166,NA,"z"
"Acropora glauca",131.03916,31.82055,NA,"z"
"Acropora glauca",132.73306,32.77917,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.1499939,-31.46999931,NA,"z"
"Acropora glauca",159.15,-31.46667,NA,"z"
"Acropora glauca",135.74333,33.48027,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.08167,-31.52666,NA,"z"
"Acropora glauca",159.07333,-31.515,NA,"z"
"Acropora glauca",159.149993896,-31.4699993134,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.05167,-31.51833,NA,"z"
"Acropora glauca",159.15,-31.46667,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.07333,-31.515,NA,"z"
"Acropora glauca",159.04667,-31.52167,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.07333,-31.515,NA,"z"
"Acropora glauca",135.77,33.47528,NA,"z"
"Acropora glauca",159.10166,-31.55667,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.15,-31.46667,NA,"z"
"Acropora glauca",131.03778,31.82806,NA,"z"
"Acropora glauca",159.1000061,-31.54999924,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.1499939,-31.46999931,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.15,-31.46667,NA,"z"
"Acropora glauca",159.15,-31.46667,NA,"z"
"Acropora glauca",159.149993896,-31.4699993134,NA,"z"
"Acropora glauca",159.100006104,-31.5499992371,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.07166,-31.555,NA,"z"
"Acropora glauca",159.15,-31.466,NA,"z"
"Acropora glauca",159.05167,-31.51833,NA,"z"
"Acropora glauca",132.74083,32.77167,NA,"z"
"Acropora glauca",159.04667,-31.52167,NA,"z"
"Acropora glauca",131.03916,31.82055,NA,"z"
"Acropora glauca",159.1,-31.55,NA,"z"
"Acropora glauca",159.07166,-31.55166,NA,"z"
"Acropora glauca",159.149993896,-31.4699993134,NA,"z"
"Acropora glauca",159.149993896,-31.4699993134,NA,"z"
"Acropora globiceps",159.06833,-31.51,NA,"z"
"Acropora granulosa",21.116667,-55.533333,NA,"z"
"Acropora granulosa",21.1166667938,-55.5333328247,NA,"z"
"Acropora hemprichii",21.116667,-55.533333,NA,"z"
"Acropora hemprichii",21.1166667938,-55.5333328247,NA,"z"
"Acropora horrida",159.066,-31.533,NA,"z"
"Acropora horrida",159.066,-31.533,NA,"z"
"Acropora horrida",159.05167,-31.51833,NA,"z"
"Acropora horrida",159.06833,-31.37166,NA,"z"
"Acropora horrida",159.066,-31.533,NA,"z"
"Acropora horrida",159.04667,-31.52167,NA,"z"
"Acropora horrida",159.08167,-31.52666,NA,"z"
"Acropora humilis",132.74083,32.77167,NA,"z"
"Acropora hyacinthus",159.10166,-31.55667,NA,"z"
"Acropora hyacinthus",132.70972,32.79722,NA,"z"
"Acropora hyacinthus",159.066,-31.533,NA,"z"
"Acropora hyacinthus",159.066,-31.533,NA,"z"
"Acropora hyacinthus",159.04667,-31.52167,NA,"z"
"Acropora hyacinthus",21.1166667938,-55.5333328247,NA,"z"
"Acropora hyacinthus",159.1499939,-31.46999931,NA,"z"
"Acropora hyacinthus",159.1499939,-31.46999931,NA,"z"
"Acropora hyacinthus",159.1499939,-31.46999931,NA,"z"
"Acropora hyacinthus",132.70972,32.79722,NA,"z"
"Acropora hyacinthus",159.061,-31.539,NA,"z"
"Acropora hyacinthus",159.149993896,-31.4699993134,NA,"z"
