scientificname,valid_name,manual
Scolymia wellsi,NA,Scolymia wellsii
Sphenotrochus evexicostatus,NA,Sphenotrochus (Sphenotrochus) evexicostatus
Sphenotrochus imbricaticostatus,NA,Sphenotrochus (Sphenotrochus) imbricaticostatus
Sphenotrochus squiresi,NA,Sphenotrochus (Sphenotrochus) squiresi
Stylocoeniella muscosus,NA,NA
Hydnophyllia wilsoni,NA,NA
Trochocyathus aithoseptatus,NA,Trochocyathus (Trochocyathus) aithoseptatus
Trochocyathus apertus,NA,Trochocyathus (Trochocyathus) apertus
Trochocyathus brevispina,NA,Trochocyathus (Aplocyathus) brevispina
Trochocyathus burchae,NA,Trochocyathus (Trochocyathus) burchae
Trochocyathus cepulla,NA,Trochocyathus (Trochocyathus) cepulla
Trochocyathus cooperi,NA,Trochocyathus (Trochocyathus) cooperi
Trochocyathus decamera,NA,Trochocyathus (Trochocyathus) decamera
Trochocyathus discus,NA,Trochocyathus (Trochocyathus) discus
Trochocyathus efateensis,NA,Trochocyathus (Trochocyathus) efateensis
Trochocyathus fossulus,NA,Trochocyathus (Trochocyathus) fossulus
Trochocyathus gardineri,NA,Trochocyathus (Trochocyathus) gardineri
Trochocyathus gordoni,NA,Trochocyathus (Trochocyathus) gordoni
Trochocyathus hastatus,NA,Trochocyathus (Aplocyathus) hastatus
Trochocyathus japonicus,NA,Trochocyathus (Trochocyathus) japonicus
Trochocyathus longispina,NA,Trochocyathus (Aplocyathus) longispina
Trochocyathus maculatus,NA,Trochocyathus (Trochocyathus) maculatus
Trochocyathus mauiensis,NA,Trochocyathus (Trochocyathus) mauiensis
Trochocyathus oahensis,NA,Trochocyathus (Trochocyathus) oahensis
Trochocyathus patelliformis,NA,Trochocyathus (Trochocyathus) patelliformis
Trochocyathus porphyreus,NA,Trochocyathus (Trochocyathus) porphyreus
Trochocyathus semperi,NA,Trochocyathus (Trochocyathus) semperi
Trochocyathus spinosocostatus,NA,Trochocyathus (Trochocyathus) spinosocostatus
Trochocyathus vasiformis,NA,Trochocyathus (Trochocyathus) vasiformis
Truncatoflabellum stokesii,NA,Truncatoflabellum compressum
Truncatoflabellum zulense,NA,Truncatoflabellum zuluense
Pachyseris inattesta,NA,Pachyseris inattesa
Pocillopora solida,NA,Pocillopora solida
Goniopora mauritiensis,NA,Goniopora mauritiensis
Deltocyathus inusitatus,NA,Deltocyathus inusitiatus
