valid.name,redlistCategory,corallite,branching,integration,budding,family
Acropora subglabra,Least Concern,0.8,HB,3,extra,Acroporidae
Acropora subulata,Least Concern,1.2,LB,3,extra,Acroporidae
Acropora suharsonoi,Endangered,0.8,MB,3,extra,Acroporidae
Acropora tanegashimensis,Data Deficient,0.8,LB,3,extra,Acroporidae
Acropora tenella,Vulnerable,0.8,LB,3,extra,Acroporidae
Acropora tenuis,Near Threatened,1.2,MB,3,extra,Acroporidae
Acropora torihalimeda,Data Deficient,0.8,MB,3,extra,Acroporidae
Acropora tortuosa,Least Concern,1.3,MB,3,extra,Acroporidae
Acropora tumida,Data Deficient,1.4,MB,3,extra,Acroporidae
Acropora turaki,Vulnerable,0.8,HB,3,extra,Acroporidae
Acropora valenciennesi,Least Concern,1.5,HB,3,extra,Acroporidae
Acropora valida,Least Concern,0.9,MB,3,extra,Acroporidae
Acropora variolosa,Least Concern,1.2,HB,3,extra,Acroporidae
Acropora vaughani,Vulnerable,1.1,MB,3,extra,Acroporidae
Acropora verweyi,Vulnerable,1.1,MB,3,extra,Acroporidae
Acropora walindii,Vulnerable,0.5,HB,3,extra,Acroporidae
Acropora willisae,Vulnerable,1,MB,3,extra,Acroporidae
Acropora yongei,Least Concern,1.2,MB,3,extra,Acroporidae
Agaricia agaricites,Least Concern,5.5,MB,6,intra,Agariciidae
Agaricia fragilis,Data Deficient,5,LB,6,intra,Agariciidae
Agaricia grahamae,Least Concern,6.5,MB,6,intra,Agariciidae
Agaricia humilis,Least Concern,6,LB,6,intra,Agariciidae
Agaricia lamarcki,Vulnerable,7.9,MB,6,intra,Agariciidae
Agaricia tenuifolia,Near Threatened,5.1,MB,6,intra,Agariciidae
Agaricia undata,Data Deficient,6,MB,6,intra,Agariciidae
Alveopora allingi,Vulnerable,3.7,MB,4,extra,Acroporidae
Alveopora catalai,Near Threatened,4.1,MB,4,extra,Acroporidae
Alveopora daedalea,Vulnerable,2.2,MB,4,extra,Acroporidae
Alveopora excelsa,Endangered,2,NB,4,extra,Acroporidae
Alveopora fenestrata,Vulnerable,3.4,NB,4,extra,Acroporidae
Alveopora gigas,Vulnerable,6.6,MB,4,extra,Acroporidae
Alveopora japonica,Vulnerable,2.7,NB,4,extra,Acroporidae
Alveopora marionensis,Vulnerable,3.4,NB,4,extra,Acroporidae
Alveopora minuta,Endangered,1.3,NB,4,extra,Acroporidae
Alveopora ocellata,Data Deficient,1.5,LB,4,extra,Acroporidae
Alveopora spongiosa,Near Threatened,1.5,MB,4,extra,Acroporidae
Alveopora tizardi,Least Concern,1.5,LB,4,extra,Acroporidae
Alveopora verrilliana,Vulnerable,2.1,NB,4,extra,Acroporidae
Alveopora viridis,Near Threatened,1.7,MB,4,extra,Acroporidae
Anacropora forbesi,Least Concern,0.5,MB,3,extra,Acroporidae
Anacropora matthai,Vulnerable,0.6,MB,3,extra,Acroporidae
Anacropora pillai,Data Deficient,0.6,MB,3,extra,Acroporidae
Anacropora puertogalerae,Vulnerable,0.8,MB,3,extra,Acroporidae
Anacropora reticulata,Vulnerable,0.9,MB,3,extra,Acroporidae
Anacropora spinosa,Endangered,0.9,MB,3,extra,Acroporidae
Anacropora spumosa,Data Deficient,0.7,MB,3,extra,Acroporidae
Anomastraea irregularis,Vulnerable,5.4,NB,3,both,Coscinaraeidae
Astrea annuligera,Near Threatened,6.3,LB,3,extra,Merulinidae
Astrea curta,Least Concern,9.3,NB,3,extra,Merulinidae
Astrea devantieri,Near Threatened,4.5,NB,3,extra,Merulinidae
Astreopora cucullata,Vulnerable,2.3,NB,3,extra,Acroporidae
Astreopora expansa,Near Threatened,2.3,MB,3,extra,Acroporidae
Astreopora gracilis,Least Concern,1.6,NB,3,extra,Acroporidae
Astreopora incrustans,Vulnerable,0.9,LB,3,extra,Acroporidae
Astreopora listeri,Least Concern,1.6,NB,3,extra,Acroporidae
Astreopora macrostoma,Near Threatened,2.5,LB,3,extra,Acroporidae
Astreopora moretonensis,Vulnerable,2.5,MB,3,extra,Acroporidae
Astreopora myriophthalma,Least Concern,2.3,NB,3,extra,Acroporidae
Astreopora ocellata,Least Concern,2.5,NB,3,extra,Acroporidae
Astreopora randalli,Least Concern,1.5,MB,3,extra,Acroporidae
Astreopora scabra,Least Concern,2.5,NB,3,extra,Acroporidae
Astreopora suggesta,Least Concern,1.6,NB,3,extra,Acroporidae
