valid.name,redlistCategory,corallite,branching,integration,budding,family
Merulina ampliata,Least Concern,6.2,MB,6,intra,Merulinidae
Merulina cylindrica,Least Concern,3.8,MB,6,intra,Merulinidae
Merulina scabricula,Least Concern,3.5,MB,6,intra,Merulinidae
Merulina scheeri,Least Concern,8.2,LB,6,intra,Merulinidae
Merulina triangularis,Near Threatened,8.8,MB,6,intra,Merulinidae
Micromussa amakusensis,Near Threatened,5.7,LB,3,both,Lobophylliidae
Micromussa lordhowensis,Near Threatened,7.5,NB,3,both,Lobophylliidae
Micromussa multipunctata,Vulnerable,9.3,LB,3,both,Lobophylliidae
Montigyra kenti,Data Deficient,32,NB,5,intra,Euphylliidae
Montipora aequituberculata,Least Concern,0.9,MB,3,extra,Acroporidae
Montipora altasepta,Vulnerable,0.8,HB,3,extra,Acroporidae
Montipora angulata,Vulnerable,1.3,MB,3,extra,Acroporidae
Montipora aspergillus,Data Deficient,0.8,MB,3,extra,Acroporidae
Montipora australiensis,Vulnerable,0.9,MB,3,extra,Acroporidae
Montipora cactus,Vulnerable,1.2,LB,3,extra,Acroporidae
Montipora calcarea,Vulnerable,0.9,LB,3,extra,Acroporidae
Montipora caliculata,Vulnerable,1,NB,3,extra,Acroporidae
Montipora capitata,Near Threatened,1,LB,3,extra,Acroporidae
Montipora capricornis,Vulnerable,1,MB,3,extra,Acroporidae
Montipora cebuensis,Vulnerable,0.8,MB,3,extra,Acroporidae
Montipora circumvallata,Least Concern,0.6,LB,3,extra,Acroporidae
Montipora cocosensis,Vulnerable,1.4,NB,3,extra,Acroporidae
Montipora confusa,Near Threatened,0.7,LB,3,extra,Acroporidae
Montipora corbettensis,Vulnerable,0.8,LB,3,extra,Acroporidae
Montipora crassituberculata,Vulnerable,1.5,MB,3,extra,Acroporidae
Montipora cryptus,Near Threatened,0.7,LB,3,extra,Acroporidae
Montipora danae,Least Concern,1.4,MB,3,extra,Acroporidae
Montipora delicatula,Vulnerable,0.6,MB,3,extra,Acroporidae
Montipora digitata,Least Concern,0.9,HB,3,extra,Acroporidae
Montipora dilatata,Endangered,1.2,LB,3,extra,Acroporidae
Montipora efflorescens,Near Threatened,1.2,NB,3,extra,Acroporidae
Montipora effusa,Near Threatened,0.8,NB,3,extra,Acroporidae
Montipora flabellata,Vulnerable,0.2,MB,3,extra,Acroporidae
Montipora florida,Vulnerable,0.8,MB,3,extra,Acroporidae
Montipora floweri,Least Concern,0.9,NB,3,extra,Acroporidae
Montipora foliosa,Near Threatened,0.9,MB,3,extra,Acroporidae
Montipora foveolata,Near Threatened,2.9,NB,3,extra,Acroporidae
Montipora friabilis,Vulnerable,1,MB,3,extra,Acroporidae
Montipora gaimardi,Vulnerable,0.8,LB,3,extra,Acroporidae
Montipora grisea,Least Concern,1.2,NB,3,extra,Acroporidae
Montipora hemispherica,Data Deficient,0.9,LB,3,extra,Acroporidae
Montipora hispida,Near Threatened,1.4,LB,3,extra,Acroporidae
Montipora hodgsoni,Vulnerable,0.6,MB,3,extra,Acroporidae
Montipora hoffmeisteri,Least Concern,1.1,LB,3,extra,Acroporidae
Montipora incrassata,Near Threatened,1.4,LB,3,extra,Acroporidae
Montipora informis,Least Concern,1.3,NB,3,extra,Acroporidae
Montipora kellyi,Data Deficient,0.9,MB,3,extra,Acroporidae
Montipora lobulata,Vulnerable,1.3,NB,3,extra,Acroporidae
Montipora mactanensis,Vulnerable,0.9,LB,3,extra,Acroporidae
Montipora malampaya,Vulnerable,0.7,LB,3,extra,Acroporidae
Montipora meandrina,Vulnerable,0.9,LB,3,extra,Acroporidae
Montipora millepora,Least Concern,8,LB,3,extra,Acroporidae
Montipora mollis,Least Concern,0.9,NB,3,extra,Acroporidae
Montipora monasteriata,Least Concern,1.1,MB,3,extra,Acroporidae
Montipora niugini,Near Threatened,0.7,LB,3,extra,Acroporidae
Montipora nodosa,Near Threatened,1.3,NB,3,extra,Acroporidae
Montipora orientalis,Vulnerable,1,MB,3,extra,Acroporidae
Montipora pachytuberculata,Data Deficient,0.6,MB,3,extra,Acroporidae
Montipora palawanensis,Near Threatened,0.7,MB,3,extra,Acroporidae
Montipora patula,Vulnerable,0.7,MB,3,extra,Acroporidae
Montipora peltiformis,Near Threatened,0.9,NB,3,extra,Acroporidae
Montipora porites,Near Threatened,0.9,LB,3,extra,Acroporidae
Montipora samarensis,Vulnerable,0.7,HB,3,extra,Acroporidae
Montipora saudii,Near Threatened,0.8,LB,3,extra,Acroporidae
Montipora setosa,Endangered,0.8,LB,3,extra,Acroporidae
Montipora spongiosa,Least Concern,0.8,MB,3,extra,Acroporidae
Montipora spongodes,Least Concern,1.2,LB,3,extra,Acroporidae
Montipora spumosa,Least Concern,0.9,LB,3,extra,Acroporidae
Montipora stellata,Least Concern,0.9,LB,3,extra,Acroporidae
Montipora stilosa,Vulnerable,0.8,NB,3,extra,Acroporidae
Montipora taiwanensis,Data Deficient,0.9,NB,3,extra,Acroporidae
Montipora tuberculosa,Vulnerable,1.1,MB,3,extra,Acroporidae
Montipora turgescens,Least Concern,1,NB,3,extra,Acroporidae
Montipora turtlensis,Vulnerable,0.9,LB,3,extra,Acroporidae
Montipora undata,Near Threatened,1.2,MB,3,extra,Acroporidae
Montipora venosa,Near Threatened,1.8,NB,3,extra,Acroporidae
Montipora verrilli,Data Deficient,0.8,LB,3,extra,Acroporidae
Montipora verrucosa,Least Concern,1.4,MB,3,extra,Acroporidae
Montipora verruculosa,Vulnerable,0.8,LB,3,extra,Acroporidae
Montipora vietnamensis,Vulnerable,0.7,LB,3,extra,Acroporidae
Moseleya latistellata,Vulnerable,73,NB,4,both,Lobophylliidae
Mussa angulosa,Least Concern,60,NB,7,intra,Faviidae
Mussismilia braziliensis,Data Deficient,6.6,NB,3,intra,Faviidae
Mussismilia harttii,Data Deficient,20,NB,3,intra,Faviidae
Mussismilia hispida,Data Deficient,20.5,NB,3,intra,Faviidae
Mussismilia leptophylla,Data Deficient,5,NB,3,intra,Faviidae
Mycedium elephantotus,Least Concern,7.5,MB,5,intra,Merulinidae
Mycedium mancaoi,Least Concern,7.2,MB,5,intra,Merulinidae
Mycedium robokaki,Least Concern,7.2,MB,5,intra,Merulinidae
Mycedium steeni,Vulnerable,3.1,MB,5,intra,Merulinidae
Mycedium umbra,Least Concern,8.3,LB,5,intra,Merulinidae
Mycetophyllia aliciae,Least Concern,20,NB,5,both,Faviidae
Mycetophyllia danaana,Least Concern,13.8,LB,5,both,Faviidae
Mycetophyllia ferox,Vulnerable,7.7,MB,5,both,Faviidae
Mycetophyllia lamarckiana,Least Concern,18.5,LB,5,both,Faviidae
Mycetophyllia reesi,Data Deficient,7.9,MB,5,both,Faviidae
Nemenzophyllia turbida,Vulnerable,7.5,NB,5,intra,Plerogyridae
Oculina patagonica,Least Concern,3.3,MB,1,intra,Oculinidae
Oculina robusta,Data Deficient,3.7,HB,1,intra,Oculinidae
Oculina valenciennesi,Data Deficient,2.7,MB,1,intra,Oculinidae
Orbicella annularis,Endangered,3.8,NB,3,extra,Merulinidae
Oulastrea crispata,Least Concern,5.6,LB,3,both,Oulastreidae
Oulophyllia bennettae,Near Threatened,17.4,NB,5,intra,Merulinidae
Oulophyllia crispa,Near Threatened,7,NB,5,intra,Merulinidae
Oulophyllia levis,Least Concern,8.6,NB,5,intra,Merulinidae
Oxypora convoluta,Data Deficient,7.3,MB,5,intra,Lobophylliidae
Oxypora crassispinosa,Least Concern,8.8,MB,5,intra,Lobophylliidae
Oxypora echinata,Least Concern,12.9,MB,5,intra,Lobophylliidae
Oxypora egyptensis,Data Deficient,11.3,NB,5,intra,Lobophylliidae
Oxypora lacera,Least Concern,8.8,MB,5,intra,Lobophylliidae
Pachyseris foliosa,Least Concern,6.3,MB,6,intra,Scleractinia incertae sedis
Pachyseris gemmae,Near Threatened,3.3,MB,6,intra,Scleractinia incertae sedis
Pachyseris involuta,Vulnerable,4.1,MB,6,intra,Scleractinia incertae sedis
Pachyseris rugosa,Vulnerable,4.8,MB,6,intra,Scleractinia incertae sedis
Pachyseris speciosa,Least Concern,4.6,MB,6,intra,Scleractinia incertae sedis
Palauastrea ramosa,Near Threatened,1.2,MB,3,extra,Astrocoeniidae
Paragoniastrea australensis,Least Concern,8.5,NB,7,intra,Merulinidae
Paragoniastrea deformis,Vulnerable,8.8,NB,7,intra,Merulinidae
Paragoniastrea russelli,Near Threatened,6,NB,7,intra,Merulinidae
Paramontastraea peresi,Near Threatened,5,NB,3,extra,Merulinidae
Paramontastraea salebrosa,Vulnerable,4.7,NB,3,extra,Merulinidae
Paramontastraea serageldini,Vulnerable,5,NB,3,extra,Merulinidae
Pavona bipartita,Vulnerable,3.1,NB,5,intra,Agariciidae
Pavona cactus,Vulnerable,1.4,LB,5,intra,Agariciidae
Pavona clavus,Least Concern,3.4,MB,5,intra,Agariciidae
Pavona decussata,Vulnerable,3.5,LB,5,intra,Agariciidae
Pavona diffluens,Vulnerable,2.6,NB,5,intra,Agariciidae
Pavona duerdeni,Least Concern,2.1,NB,5,intra,Agariciidae
Pavona explanulata,Least Concern,3,MB,5,intra,Agariciidae
Pavona frondifera,Least Concern,2.6,LB,5,intra,Agariciidae
Pavona gigantea,Least Concern,5.7,NB,5,intra,Agariciidae
Pavona maldivensis,Least Concern,4.1,MB,5,intra,Agariciidae
Pavona minuta,Near Threatened,3.3,NB,5,intra,Agariciidae
Pavona varians,Least Concern,9.3,LB,5,intra,Agariciidae
Pavona venosa,Vulnerable,9.3,LB,5,intra,Agariciidae
Pectinia africana,Vulnerable,16.6,NB,5,intra,Merulinidae
Pectinia alcicornis,Vulnerable,21.2,LB,5,intra,Merulinidae
Pectinia elongata,Near Threatened,7.5,MB,5,intra,Merulinidae
Pectinia lactuca,Vulnerable,30,LB,5,intra,Merulinidae
Pectinia maxima,Endangered,7.5,MB,5,intra,Merulinidae
Pectinia paeonia,Near Threatened,35,MB,5,intra,Merulinidae
Pectinia pygmaea,Near Threatened,4.7,MB,5,intra,Merulinidae
Pectinia teres,Near Threatened,6.2,MB,5,intra,Merulinidae
Physogyra lichtensteini,Vulnerable,6,NB,5,intra,Plerogyridae
Physophyllia ayleni,Near Threatened,15,MB,5,intra,Merulinidae
Platygyra acuta,Near Threatened,5.2,NB,6,intra,Merulinidae
Platygyra carnosa,Near Threatened,5,NB,6,intra,Merulinidae
Platygyra contorta,Least Concern,5.6,NB,6,intra,Merulinidae
Platygyra crosslandi,Near Threatened,5.9,NB,6,intra,Merulinidae
Platygyra daedalea,Least Concern,5.8,NB,6,intra,Merulinidae
Platygyra lamellina,Near Threatened,9.1,NB,6,intra,Merulinidae
Platygyra pini,Least Concern,7.2,NB,6,intra,Merulinidae
Platygyra ryukyuensis,Near Threatened,3.3,NB,6,intra,Merulinidae
Platygyra sinensis,Least Concern,6.7,NB,6,intra,Merulinidae
Platygyra verweyi,Near Threatened,4.7,NB,6,intra,Merulinidae
Plerogyra discus,Vulnerable,20.8,NB,7,intra,Plerogyridae
Plerogyra simplex,Near Threatened,20,MB,7,intra,Plerogyridae
Plerogyra sinuosa,Near Threatened,30,NB,7,intra,Plerogyridae
Plesiastrea versipora,Least Concern,4.6,NB,3,extra,Plesiastreidae
Pleuractis granulosa,Least Concern,120,NB,0,,Fungiidae
Pleuractis moluccensis,Least Concern,160,NB,0,,Fungiidae
Pleuractis paumotensis,Least Concern,235,NB,0,,Fungiidae
Pleuractis seychellensis,Vulnerable,88.8,NB,0,,Fungiidae
Pleuractis taiwanensis,Vulnerable,193,NB,0,,Fungiidae
Pocillopora ankeli,Vulnerable,1,MB,3,extra,Pocilloporidae
Pocillopora capitata,Least Concern,0.4,HB,3,extra,Pocilloporidae
Pocillopora damicornis,Least Concern,1,MB,3,extra,Pocilloporidae
Pocillopora effusa,Data Deficient,1.1,HB,3,extra,Pocilloporidae
Pocillopora elegans,Vulnerable,1,MB,3,extra,Pocilloporidae
Pocillopora fungiformis,Endangered,0.8,LB,3,extra,Pocilloporidae
Pocillopora grandis,Near Threatened,1,HB,3,extra,Pocilloporidae
Pocillopora indiania,Vulnerable,1.2,MB,3,extra,Pocilloporidae
Pocillopora inflata,Vulnerable,1,MB,3,extra,Pocilloporidae
Pocillopora kelleheri,Least Concern,1.2,HB,3,extra,Pocilloporidae
Pocillopora ligulata,Least Concern,0.8,MB,3,extra,Pocilloporidae
Pocillopora meandrina,Least Concern,0.7,MB,3,extra,Pocilloporidae
Pocillopora molokensis,Data Deficient,1.3,MB,3,extra,Pocilloporidae
Pocillopora verrucosa,Vulnerable,1.2,HB,3,extra,Pocilloporidae
Pocillopora woodjonesi,Least Concern,1.1,HB,3,extra,Pocilloporidae
Pocillopora zelli,Least Concern,1.2,HB,3,extra,Pocilloporidae
Podabacia crustacea,Least Concern,3,LB,5,intra,Fungiidae
Podabacia motuporensis,Near Threatened,2.8,LB,5,intra,Fungiidae
Podabacia sinai,Data Deficient,2.7,MB,5,intra,Fungiidae
Porites annae,Near Threatened,1.1,LB,4,extra,Poritidae
Porites aranetai,Vulnerable,1,LB,4,extra,Poritidae
Porites arnaudi,Least Concern,1.1,MB,4,extra,Poritidae
Porites astreoides,Least Concern,1.6,NB,4,extra,Poritidae
Porites attenuata,Vulnerable,2.1,MB,4,extra,Poritidae
Porites australiensis,Least Concern,1.4,NB,4,extra,Poritidae
Porites branneri,Near Threatened,1.8,LB,4,extra,Poritidae
Porites brighami,Least Concern,1.5,NB,4,extra,Poritidae
Porites cocosensis,Vulnerable,1.5,LB,4,extra,Poritidae
Porites colonensis,Data Deficient,2,MB,4,extra,Poritidae
Porites columnaris,Least Concern,1.5,MB,4,extra,Poritidae
Porites compressa,Least Concern,1.6,LB,4,extra,Poritidae
Porites cumulatus,Vulnerable,1.1,MB,4,extra,Poritidae
Porites cylindrica,Near Threatened,1.1,LB,4,extra,Poritidae
Porites deformis,Near Threatened,1.6,LB,4,extra,Poritidae
Porites densa,Near Threatened,1.3,NB,4,extra,Poritidae
Porites desilveri,Endangered,1,LB,4,extra,Poritidae
Porites divaricata,Least Concern,1.6,HB,4,extra,Poritidae
Porites echinulata,Near Threatened,2.1,MB,4,extra,Poritidae
Porites eridani,Endangered,0.8,LB,4,extra,Poritidae
Porites evermanni,Data Deficient,1,MB,4,extra,Poritidae
Porites flavus,Data Deficient,0.7,MB,4,extra,Poritidae
Porites furcata,Least Concern,1.9,HB,4,extra,Poritidae
Porites harrisoni,Near Threatened,1.1,MB,4,extra,Poritidae
Porites heronensis,Least Concern,1.5,MB,4,extra,Poritidae
Porites horizontalata,Vulnerable,1.7,LB,4,extra,Poritidae
Porites latistellata,Least Concern,1.4,LB,4,extra,Poritidae
Porites lichen,Least Concern,1.4,MB,4,extra,Poritidae
Porites lobata,Near Threatened,1.1,NB,4,extra,Poritidae
Porites lutea,Least Concern,1.3,NB,4,extra,Poritidae
Porites mayeri,Least Concern,1.6,NB,4,extra,Poritidae
Porites monticulosa,Least Concern,1.2,LB,4,extra,Poritidae
Porites murrayensis,Near Threatened,1,NB,4,extra,Poritidae
Porites myrmidonensis,Least Concern,1.4,NB,4,extra,Poritidae
Porites napopora,Vulnerable,0.9,LB,4,extra,Poritidae
Porites negrosensis,Near Threatened,1.7,MB,4,extra,Poritidae
Porites nigrescens,Vulnerable,1.6,MB,4,extra,Poritidae
Porites nodifera,Least Concern,1.6,MB,4,extra,Poritidae
Porites okinawensis,Vulnerable,1.3,NB,4,extra,Poritidae
Porites ornata,Endangered,1.5,MB,4,extra,Poritidae
Porites panamensis,Least Concern,0.9,NB,4,extra,Poritidae
Porites porites,Least Concern,2.5,HB,4,extra,Poritidae
Porites profundus,Least Concern,0.9,MB,4,extra,Poritidae
Porites pukoensis,Critically Endangered,1.7,MB,4,extra,Poritidae
Porites rugosus,Vulnerable,0.9,MB,4,extra,Poritidae
Porites rus,Least Concern,0.8,LB,4,extra,Poritidae
Porites solida,Least Concern,1.6,NB,4,extra,Poritidae
Porites somaliensis,Near Threatened,2.3,NB,4,extra,Poritidae
Porites stephensoni,Near Threatened,1.3,NB,4,extra,Poritidae
Porites vaughani,Least Concern,0.8,LB,4,extra,Poritidae
Psammocora columna,Least Concern,6,NB,4,intra,Psammocoridae
Psammocora contigua,Near Threatened,1.5,MB,4,intra,Psammocoridae
Psammocora digitata,Near Threatened,2.3,MB,4,intra,Psammocoridae
Psammocora exesa,Least Concern,6.1,MB,4,intra,Psammocoridae
Psammocora haimiana,Least Concern,4.6,NB,4,intra,Psammocoridae
Psammocora nierstraszi,Near Threatened,2.3,NB,4,intra,Psammocoridae
Psammocora profundacella,Least Concern,2.5,NB,4,intra,Psammocoridae
Psammocora stellata,Vulnerable,2.5,NB,4,intra,Psammocoridae
Pseudodiploria clivosa,Least Concern,5.8,NB,5,intra,Faviidae
Pseudodiploria strigosa,Least Concern,5.1,NB,5,intra,Faviidae
Sandalolitha dentata,Least Concern,3.5,NB,5,intra,Fungiidae
Sandalolitha robusta,Least Concern,4.6,NB,5,intra,Fungiidae
Schizoculina africana,Data Deficient,9.1,HB,3,extra,Oculinidae
Schizoculina fissipara,Data Deficient,3.4,LB,3,extra,Oculinidae
Sclerophyllia maxima,Near Threatened,40,NB,4,intra,Lobophylliidae
Scolymia cubensis,Least Concern,56.5,NB,0,both,Faviidae
Seriatopora aculeata,Vulnerable,0.5,MB,3,extra,Pocilloporidae
Seriatopora caliendrum,Near Threatened,1.1,MB,3,extra,Pocilloporidae
Seriatopora guttata,Least Concern,0.6,MB,3,extra,Pocilloporidae
Seriatopora hystrix,Least Concern,0.8,MB,3,extra,Pocilloporidae
Seriatopora stellata,Near Threatened,0.6,MB,3,extra,Pocilloporidae
Siderastrea radians,Least Concern,3,NB,4,extra,Siderastreidae
Siderastrea savignyana,Least Concern,3.8,NB,4,extra,Siderastreidae
Siderastrea siderea,Critically Endangered,4.5,NB,4,extra,Siderastreidae
Siderastrea stellata,Data Deficient,3,NB,4,extra,Siderastreidae
Simplastrea vesicularis,Data Deficient,4.2,LB,3,extra,Euphylliidae
Sinuorota hexagonalis,Least Concern,29,NB,0,,Fungiidae
Solenastrea bournoni,Least Concern,20.5,NB,3,extra,Scleractinia incertae sedis
Solenastrea hyades,Least Concern,4.2,NB,3,extra,Scleractinia incertae sedis
Stephanocoenia intersepta,Least Concern,2.7,NB,3,extra,Astrocoeniidae
Stylaraea punctata,Data Deficient,1.2,LB,3,extra,Poritidae
Stylocoeniella armata,Least Concern,2.3,LB,3,extra,Astrocoeniidae
Stylocoeniella cocosensis,Vulnerable,0.7,LB,3,extra,Astrocoeniidae
Stylocoeniella guentheri,Least Concern,1.1,LB,3,extra,Astrocoeniidae
Stylophora danae,Least Concern,1.1,MB,3,extra,Pocilloporidae
Stylophora kuehlmanni,Least Concern,0.7,MB,3,extra,Pocilloporidae
Stylophora madagascarensis,Endangered,0.8,MB,3,extra,Pocilloporidae
Stylophora mamillata,Least Concern,1,LB,3,extra,Pocilloporidae
Stylophora pistillata,Near Threatened,1.4,MB,3,extra,Pocilloporidae
Stylophora subseriata,Least Concern,0.7,MB,3,extra,Pocilloporidae
Stylophora wellsi,Near Threatened,0.7,MB,3,extra,Pocilloporidae
Trachyphyllia geoffroyi,Near Threatened,4,NB,7,intra,Merulinidae
Turbinaria bifrons,Vulnerable,1.6,MB,3,extra,Dendrophylliidae
Turbinaria conspicua,Least Concern,1.6,MB,3,extra,Dendrophylliidae
Turbinaria frondens,Least Concern,1.1,MB,3,extra,Dendrophylliidae
Turbinaria heronensis,Vulnerable,4.4,MB,3,extra,Dendrophylliidae
Turbinaria irregularis,Least Concern,2.1,MB,3,extra,Dendrophylliidae
Turbinaria mesenterina,Vulnerable,3.5,MB,3,extra,Dendrophylliidae
Turbinaria patula,Vulnerable,3.5,MB,3,extra,Dendrophylliidae
Turbinaria radicalis,Near Threatened,2.5,LB,3,extra,Dendrophylliidae
Turbinaria reniformis,Vulnerable,4.2,MB,3,extra,Dendrophylliidae
Turbinaria stellulata,Vulnerable,3.3,NB,3,extra,Dendrophylliidae
Zoopilus echinatus,Least Concern,20,NB,5,intra,Fungiidae
