"species","id","genus","family","min.lat","max.lat","med.lat","n","gc.dist","area","mean.size","mean.corallite.size","growth_Veron","depth.lower","depth.upper","IUCN","loc.abundance","clarity.pref","exposure.pref","range.size.Veron","ocean","growth","origin","growth.rate","symbio","clade","larval","strategy"
"Acanthastrea brevis",3,"Acanthastrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"submassive",20,1,"VU","uncommon","clear","broad",19122851.75,"pacific","colonial",1.89528776986838,NA,"z",NA,"",""
"Acanthastrea echinata",4,"Acanthastrea","Lobophylliidae",-55.533333,33.3699989318848,-16.1180000302588,466,20001.0574118391,114212082.620894,NA,NA,"encrusting",43.3333333333333,8.33333333333333,"LC","common","both","broad",42277168.59,"pacific","colonial",2.47727808303031,NA,"z","C","spawner","stress-tolerant"
"Acanthastrea hemprichi",6,"Acanthastrea","Lobophylliidae",-29.5,35.0800018310547,-13.038332969574,118,14519.2442016849,79868793.5204598,NA,NA,"encrusting",20,2,"VU","uncommon","both","broad",22167887.94,"pacific","colonial",2.811674429,NA,"z","C","",""
"Acanthastrea ishigakiensis",8,"Acanthastrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"massive",15,1,"VU","uncommon","clear","protected",21818198.49,"pacific","colonial",2.47535686211955,NA,"z",NA,"",""
"Acanthastrea regularis",12,"Acanthastrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"massive",20,2,"VU","uncommon","clear","protected",12772066.84,"pacific","colonial",2.56281175185912,NA,"z",NA,"",""
"Acanthastrea rotundoflora",13,"Acanthastrea","Lobophylliidae",-17.1636161804199,7.511,-12.891666,15,10403.6655446251,14924500.5079577,NA,NA,"encrusting",30,2,"NT","uncommon","clear","protected",23293042.8,"pacific","colonial",2.47727808303031,NA,"z",NA,"",""
"Acanthastrea subechinata",14,"Acanthastrea","Lobophylliidae",-21.1,25.56833,-11.28248095,26,5579.17174415144,9652417.18622174,NA,NA,"encrusting",35,0,"NT","uncommon","clear","broad",11559186.44,"pacific","colonial",2.11567172215937,NA,"z",NA,"",""
"Acropora abrolhosensis",16,"Acropora","Acroporidae",-28.75,15.1199998855591,-2.014165,102,7600.33251222226,24273737.6137269,533.333333333333,1.5,"branching_open",29.3333333333333,2,"VU","rare","clear","protected",14675273,"pacific","colonial",2.0510166523841,NA,"z","C","spawner",""
"Acropora abrotanoides",17,"Acropora","Acroporidae",-31.55667,26.2000007629395,-12.9249914886474,446,19172.6310562992,75128345.8102677,NA,1.2,"branching_open",20.5,0,"LC","uncommon","clear","exposed",39971751.25,"pacific","colonial",3.87591025313423,127.5,"z",NA,"spawner",""
"Acropora aculeus",18,"Acropora","Acroporidae",-31.533,26.5,-13.90166,907,18495.8257579453,77921438.8893201,40,1,"corymbose",37.4,5.33333333333333,"VU","uncommon","clear","broad",30558281.47,"pacific","colonial",1.06543566288177,NA,"z","C","spawner",""
"Acropora acuminata",19,"Acropora","Acroporidae",-29.93333,28.46667,-7.415,427,18944.708390378,83058775.656648,133.333333333333,1.2,"branching_open",22.5,5,"VU","uncommon","both","broad",29490107.99,"pacific","colonial",1.93903601352788,NA,"z",NA,"",""
"Acropora akajimensis",20,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",20,0.5,"DD","rare","clear","exposed",2531097.507,"pacific","colonial",1.3739231726837,NA,"z",NA,"",""
"Acropora anthocercis",21,"Acropora","Acroporidae",-31.55667,30.82055,-13.506945,239,18959.6813088818,85818269.1479647,75,1.3,"corymbose",17.5,5,"VU","uncommon","clear","exposed",32534699.14,"pacific","colonial",1.9100380709495,NA,"z",NA,"spawner",""
"Acropora appressa",22,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",15,1,"NT","uncommon","clear","broad",4159356.706,"pacific","colonial",2.36916149932627,NA,"z","C","spawner",""
"Acropora arabensis",23,"Acropora","Acroporidae",-20.3833332061768,29.0799999237061,-12.8269441755982,50,5525.62898903193,1820490.39064609,NA,2,"digitate",11,0.5,"NT","common","clear","exposed",4076597.372,"pacific","colonial",0.55112718077608,NA,"z",NA,"spawner",""
"Acropora arafura",1573,"Acropora","Acroporidae",-12.41667,-12.17667,-12.23333,5,730.833658433795,7854.65010609603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",NA,"",""
"Acropora aspera",24,"Acropora","Acroporidae",-31.55,26.5,-14.7064167,458,18502.3498420607,79564931.8871547,NA,1.8,"branching_open",9.33333333333333,0,"VU","uncommon","clear","exposed",30619195.62,"pacific","colonial",3.01610547560649,48.5226,"z","C","spawner","competitive"
"Acropora austera",25,"Acropora","Acroporidae",-31.51833,26.5,-12.89967,845,19655.632100706,86536849.8473605,NA,1.5,"branching_open",24.75,3.75,"NT","common","clear","exposed",38474764.71,"pacific","colonial",1.30159797054609,62.9,"z","C","",""
"Acropora awi",26,"Acropora","Acroporidae",-10.2,7.305,-0.670000016689301,63,7501.32580298105,8783196.49378518,150,1,"hispidose",12.5,0,"VU","uncommon","both","protected",7434259.194,"pacific","colonial",1.08349899373273,NA,"z",NA,"",""
"Acropora azurea",27,"Acropora",NA,NA,NA,NA,NA,NA,NA,15,NA,"branching_closed",10,1,NA,"uncommon","clear","exposed",3005906.678,"pacific","colonial",NA,NA,"z",NA,"",""
"Acropora batunai",28,"Acropora","Acroporidae",-13.6368,6.93083,-0.550000011960464,40,4602.61382251956,5266872.91382752,125,0.5,"corymbose",44.5,1,"VU","uncommon","clear","protected",4275093.004,"pacific","colonial",4.37973666658915,NA,"z",NA,"",""
"Acropora bifurcata",29,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tables_or_plates",25,1,"DD","uncommon","clear","exposed",16117204.74,"pacific","colonial",1.47191810299436,NA,"z",NA,"",""
"Acropora branchi",30,"Acropora","Acroporidae",-21.1,11.5,-11.00573095,24,3861.84610046756,7408442.52366819,NA,NA,"tables_or_plates",NA,NA,"DD","common","clear","exposed",1319852.235,"pacific","colonial",1.97490789929938,NA,"z",NA,"spawner",""
"Acropora bushyensis",32,"Acropora","Acroporidae",-29.93333,11.625,-20.966,61,14109.0095667626,54526160.1457184,25,1.5,"digitate",4.25,0,"LC","rare","clear","protected",3264616.723,"pacific","colonial",0.751787283976631,NA,"z",NA,"spawner",""
"Acropora cardenae",33,"Acropora","Acroporidae",-19.69461,-18.46699905,-18.4669990539551,3,313.768925739215,1.57814837233309,NA,NA,"branching_open",57.5,NA,"DD","common","clear","protected",3124818.374,"pacific","colonial",0.838407245567249,NA,"z",NA,"",""
"Acropora carduus",34,"Acropora","Acroporidae",-20.95,10,-14.012065,216,10844.3681599809,17618104.1060486,NA,0.9,"hispidose",36.25,4,"NT","common","clear","protected",30123945.69,"pacific","colonial",0.874357006058655,NA,"z",NA,"spawner",""
"Acropora caroliniana",35,"Acropora","Acroporidae",-23.63333,11.5699996948242,-5.4,157,13224.8685209502,33307449.7874772,50,1,"tables_or_plates",35,10,"VU","uncommon","clear","exposed",25998762.33,"pacific","colonial",3.36788174695489,NA,"z",NA,"",""
"Acropora cerealis",36,"Acropora","Acroporidae",-31.55166,26.5,-12.826666656372,924,19444.2601701347,77491175.088356,50,0.8,"branching_closed",26.2,3,"LC","common","clear","exposed",34208935.48,"pacific","colonial",1.06004943315889,42.9,"z","C","spawner","competitive"
"Acropora cervicornis",37,"Acropora","Acroporidae",-17.6975,26.1782894134521,19.8250007629395,371,19782.7748437743,40334447.0918357,68.69,1.7,"branching_open",40,0.25,"CR","uncommon","clear","protected",3772055.817,"atlantic","colonial",3.23614716404357,63.1511111111111,"z","A","spawner","competitive"
"Acropora chesterfieldensis",38,"Acropora","Acroporidae",-22.33333,26.5,-17.6700000781469,66,11117.5549103528,31414849.3838287,NA,1,"branching_closed",29,3,"LC","rare","clear","protected",14795236.05,"pacific","colonial",1.40131204157971,NA,"z",NA,"",""
"Acropora clathrata",39,"Acropora","Acroporidae",-31.533,28.46667,-6.10833,584,19878.4503082255,87130759.6974977,NA,0.9,"tables_or_plates",27.25,3.5,"LC","common","clear","broad",41776112.27,"pacific","colonial",0.681699077952678,NA,"z","C","spawner",""
"Acropora convexa",40,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"corymbose",20,1,"DD","uncommon","turbid","protected",8456801.96,"pacific","colonial",1.03122644778517,NA,"z",NA,"",""
"Acropora cophodactyla",41,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"digitate",12,0,"DD","uncommon","clear","exposed",13681246.35,"pacific","colonial",1.90823878901124,NA,"z",NA,"",""
"Acropora copiosa",42,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_open",NA,NA,"DD","rare","clear","protected",25139048.94,"pacific","colonial",0.885142321957937,NA,"z","C","",""
"Acropora cylindrica",45,"Acropora",NA,NA,NA,NA,NA,NA,NA,100,NA,"branching_open",12,0,"DD","uncommon","clear","exposed",10682382.62,"pacific","colonial",1.89543826001161,NA,"z",NA,"",""
"Acropora cytherea",46,"Acropora","Acroporidae",-55.533333,29.5,-13.4855556488037,989,19827.2191673054,113259910.549594,300,1,"tables_or_plates",30.0833333333333,13,"LC","common","clear","broad",42467007.32,"pacific","colonial",1.24172200256654,59.725,"z","C","","competitive"
"Acropora dendrum",47,"Acropora","Acroporidae",-28.8500003814697,15.1199998855591,-18.23333,71,8226.38825764766,20550178.7138172,100,1.2,"corymbose",20,5,"VU","uncommon","clear","exposed",26713596.93,"pacific","colonial",0.70882642845992,NA,"z",NA,"spawner",""
"Acropora derawanensis",48,"Acropora","Acroporidae",-5.80167,9.869999886,2.26999998092651,17,4453.55408636104,5844435.57508767,100,1,"branching_open",27.5,10,"VU","uncommon","both","protected",5078563.436,"pacific","colonial",0.823843684054656,NA,"z",NA,"",""
"Acropora desalwii",49,"Acropora","Acroporidae",-14.1883,6.97167,-2.035,40,12699.1766907419,14303279.476132,30,0.8,"corymbose",32.5,10,"VU","common","clear","protected",5458518.822,"pacific","colonial",0.939961960726763,NA,"z",NA,"",""
"Acropora digitifera",50,"Acropora","Acroporidae",-31.53166,32.77917,-15.10000038,835,19310.3102086468,89229721.5267021,100,1.6,"digitate",11.25,0.666666666666667,"NT","uncommon","clear","exposed",39226209.98,"pacific","colonial",0.720078523765105,37.6,"z","C","spawner",""
"Acropora divaricata",51,"Acropora","Acroporidae",-31.528,30.57833,-16.07316589,895,19583.9620225467,90548861.5970274,NA,1.1,"tables_or_plates",20,5.5,"NT","common","clear","exposed",32599913.49,"pacific","colonial",0.900376000707082,41.5,"z","C","spawner","competitive"
"Acropora donei",52,"Acropora","Acroporidae",-29.93333,31.82055,-8.520000458,405,14690.8124899834,73067774.0899578,266.666666666667,1.4,"branching_open",36.6666666666667,5,"VU","uncommon","clear","broad",17629164.76,"pacific","colonial",1.3739231726837,NA,"z","C","spawner",""
"Acropora downingi",53,"Acropora","Acroporidae",-21.1,29.0699996948242,4.85,40,5634.43954601459,12407051.71629,NA,1,"tables_or_plates",10,1,"LC","common","clear","exposed",1753847.036,"pacific","colonial",0.794351463499658,NA,"z",NA,"",""
"Acropora echinata",54,"Acropora","Acroporidae",-23.38330078125,15.1199998855591,-5.30000019086743,202,14060.8212304253,49722085.6520744,150,1,"hispidose",41.6666666666667,8,"VU","uncommon","clear","protected",16676893.1,"pacific","colonial",5.72711205222336,NA,"z",NA,"spawner",""
"Acropora efflorescens",55,"Acropora",NA,NA,NA,NA,NA,NA,NA,200,NA,"tables_or_plates",40,10,"DD","rare","clear","exposed",8371523.001,"pacific","colonial",1.23801726725173,NA,"z",NA,"",""
"Acropora elegans",56,"Acropora","Acroporidae",-19.69461,6.89166,-3.31166,25,4853.01762847181,10051315.9963397,NA,0.8,"tables_or_plates",51.6666666666667,30,"VU","uncommon","clear","protected",6093249.901,"pacific","colonial",1.4257941528004,NA,"z",NA,"",""
"Acropora elegantula",57,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",20,2,"DD","common","clear","broad",80509.65437,"pacific","colonial",1.0768805506411,NA,"z",NA,"",""
"Acropora elseyi",59,"Acropora","Acroporidae",-27.6,26.2000007629395,-15.9979333888781,672,18719.1817926521,71375444.0869158,50,0.9,"hispidose",24.5,2.5,"LC","common","clear","broad",33660414.4,"pacific","colonial",2.0510166523841,NA,"z","C","spawner","competitive"
"Acropora eurystoma",60,"Acropora","Acroporidae",-14.2799997329712,29.5,-12.8916662061768,42,17119.5583775718,36947819.4910154,NA,2,NA,26,5,"DD",NA,"clear","protected",NA,"pacific","colonial",2.26328314687564,NA,"z",NA,"spawner",""
"Acropora exquisita",61,"Acropora","Acroporidae",-17.3500003814697,-12.27999973,-14.0100002294409,6,694.705112859825,6154.59917624985,NA,NA,"branching_closed",20,2,"DD","uncommon","clear","protected",22186093.37,"pacific","colonial",0.933784860777458,NA,"z","C","",""
"Acropora fastigata",62,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",20,2,"DD","rare","clear","broad",6833601.098,"pacific","colonial",1.33060517618054,NA,"z",NA,"",""
"Acropora fat_digitifera",1584,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Acropora fenneri",63,"Acropora",NA,NA,NA,NA,NA,NA,NA,100,NA,"branching_open",NA,NA,"DD","uncommon","clear","protected",501699.4861,"pacific","colonial",1.42580407280718,NA,"z",NA,"",""
"Acropora filiformis",64,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_open",20,8,"DD","uncommon","clear","protected",501699.4861,"pacific","colonial",0.787208102559007,NA,"z",NA,"",""
"Acropora florida",65,"Acropora","Acroporidae",-29.93333,30.82055,-9.55000019086743,900,18471.1226517445,80493902.818266,1500,1.4,"branching_open",31.5,3,"NT","common","clear","broad",33735645.15,"pacific","colonial",3.79735420056447,NA,"z","C","spawner","competitive"
"Acropora forskali",67,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_open",25,2,"DD","uncommon","clear","broad",3770758.676,"pacific","colonial",0.998762460197066,NA,"z",NA,"",""
"Acropora gemmifera",68,"Acropora","Acroporidae",-29.5,28.46667,-12.8549995422363,729,19065.8781430099,80959748.2833712,NA,1.6,"digitate",16,1,"LC","common","clear","broad",39454834.74,"pacific","colonial",0.693789873065717,24,"z","C","spawner","competitive"
"Acropora glauca",69,"Acropora","Acroporidae",-32.0169,33.68638,-20.903450012207,235,17762.4776981337,78154865.4987812,NA,1.3,"tables_or_plates",20,5,"NT","rare","both","protected",13951215.75,"pacific","colonial",0.316054933373932,NA,"z","C","spawner","competitive"
"Acropora globiceps",70,"Acropora","Acroporidae",-31.51,11.46,-18.255000115,54,15724.6762811455,27666383.4224621,NA,2.1,"digitate",14,0,"VU","common","clear","exposed",28094516.15,"pacific","colonial",2.03575047328919,NA,"z",NA,"",""
"Acropora gomezi",71,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_open",NA,NA,"DD","uncommon","clear","exposed",4854568.273,"pacific","colonial",2.19787346085669,NA,"z",NA,"",""
"Acropora grandis",72,"Acropora","Acroporidae",-28.8827,11.83333,-16.1271667480469,493,17802.4854597691,59850815.8152399,450,1.7,"branching_open",23.5,5,"LC","common","clear","broad",32200590.04,"pacific","colonial",2.17104827900871,NA,"z","C","spawner","competitive"
"Acropora granulosa",73,"Acropora","Acroporidae",-55.533332824707,20.5699996948242,-8.12499980926513,408,18472.4001938111,84649660.2108643,75,0.9,"tables_or_plates",47,20,"NT","common","clear","broad",34218263.51,"pacific","colonial",0.865804445204572,7.16,"z","C","spawner","competitive"
"Acropora haimei",74,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",14,0.25,"DD","uncommon","clear","broad",1752256.622,"pacific","colonial",2.01626274845378,NA,"z",NA,"spawner",""
"Acropora halmaherae",75,"Acropora","Acroporidae",-8.33333,11.43333,1.65,21,6061.91817284266,4927297.41843463,NA,0.9,NA,22.5,10,"DD","rare","both","protected",NA,"pacific","colonial",1.30342097310416,NA,"z",NA,"",""
"Acropora hemprichii",76,"Acropora","Acroporidae",-55.533333,26.0499992370605,-12.2397222518921,61,9826.88831981159,29145177.2831055,200,1.2,"branching_open",15,2.5,"VU","common","clear","broad",5347800.293,"pacific","colonial",2.06933019315419,9.445,"z",NA,"spawner","competitive"
"Acropora hoeksemai",77,"Acropora","Acroporidae",-20.45,9.5,-1.06667,122,8133.95573816353,12559232.6397148,333.333333333333,1.1,"branching_open",21,8,"VU","common","clear","broad",8556564.477,"pacific","colonial",0.900913203624174,NA,"z",NA,"",""
"Acropora horrida",78,"Acropora","Acroporidae",-31.533,28.06666,-11.915335,446,19955.8748174959,83296541.4298938,200,1.5,"branching_closed",26.75,6.5,"VU","uncommon","turbid","protected",37908584.66,"pacific","colonial",2.03916998081564,NA,"z","C","spawner","competitive"
"Acropora humilis",79,"Acropora","Acroporidae",-29.93333,32.77167,-13.555,1139,19624.8406967333,96993706.5137016,NA,1.8,"digitate",12.8,1.5,"NT","common","clear","exposed",42363615.88,"pacific","colonial",2.03575047328919,20.2166666666667,"z","C","spawner","competitive"
"Acropora hyacinthus",80,"Acropora","Acroporidae",-55.533333,33.4803,-14.4255,1415,19885.942028004,117275359.326205,300,1.1,"tables_or_plates",20,2.5,"NT","common","clear","exposed",44086198.99,"pacific","colonial",0.588742378677986,80.6333333333333,"z","C","spawner","competitive"
"Acropora indonesia",82,"Acropora","Acroporidae",-20.3833332061768,15.11666,1.46666,125,13671.2644171745,28535945.6744857,100,1,"branching_open",23,10,"VU","common","clear","protected",8053977.511,"pacific","colonial",1.24690789613032,NA,"z",NA,"",""
"Acropora inermis",83,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",25,0.5,"DD","uncommon","turbid","protected",21365697.48,"pacific","colonial",1.1949437886425,NA,"z",NA,"",""
"Acropora insignis",84,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",30,0.5,"DD","uncommon","clear","broad",22448300.91,"pacific","colonial",1.98762848113039,NA,"z",NA,"",""
"Acropora intermedia",119,"Acropora","Acroporidae",-30.15921,31.82055,-9.56999969491211,552,18748.2513906299,72752349.0907287,500,1.5,"branching_open",18.75,2,"LC","common","clear","broad",41075901.93,"pacific","colonial",3.26136952521733,NA,"z","C","spawner","competitive"
"Acropora irregularis",85,"Acropora",NA,NA,NA,NA,NA,NA,NA,300,NA,"branching_open",15,1,"DD","uncommon","clear","exposed",13687796.61,"pacific","colonial",1.79826478359895,NA,"z",NA,"",""
"Acropora jacquelineae",86,"Acropora","Acroporidae",-8.53333,6.77666,-2.9425,50,4457.81333769508,5701691.24629421,86.6666666666667,0.5,"tables_or_plates",35.5,10,"VU","uncommon","clear","protected",6605475.69,"pacific","colonial",4.12342586828475,NA,"z",NA,"",""
"Acropora japonica",87,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,0.9,"tables_or_plates",8,1,"DD","common","clear","exposed",1074947.608,"pacific","colonial",1.50434533687465,NA,"z",NA,"spawner",""
"Acropora khayranensis",88,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","uncommon","clear","protected",NA,"pacific",NA,1.00495193099056,NA,"z",NA,"",""
"Acropora kimbeensis",89,"Acropora","Acroporidae",-15.49233,11.83333,-5.3,39,6306.19377146126,9724248.38699774,NA,0.6,"branching_closed",31.6666666666667,3,"VU","uncommon","clear","broad",4752789.39,"pacific","colonial",0.915888105997414,NA,"z",NA,"",""
"Acropora kirstyae",90,"Acropora","Acroporidae",-23.2415828704834,6.97092,-17.684447865,96,9851.1768598023,17427772.0272405,NA,0.8,"branching_closed",27.5,10,"VU","uncommon","clear","broad",23414811.11,"pacific","colonial",1.30429697718361,NA,"z",NA,"",""
"Acropora kosurini",91,"Acropora","Acroporidae",-21.85,10,7.414165,26,14711.2721237072,26865038.7557892,NA,0.8,"branching_open",17,8,"VU","rare","clear","broad",3460299.601,"pacific","colonial",0.87710031062778,NA,"z",NA,"",""
"Acropora lamarcki",92,"Acropora","Acroporidae",-21.1,11.5,-10.235,22,3861.84610046756,7038239.08094114,200,NA,"corymbose",15,2,"DD","common","clear","exposed",4914448.857,"pacific","colonial",1.90728801212502,32.4,"z",NA,"spawner",""
"Acropora latistella",93,"Acropora","Acroporidae",-35.06667,30.82055,-14.508315,1004,19788.4814673376,85143418.3600606,NA,0.9,"corymbose",32.6666666666667,3,"LC","common","turbid","protected",39928272.5,"pacific","colonial",3.88592660668535,NA,"z","C","spawner",""
"Acropora lianae",94,"Acropora",NA,NA,NA,NA,NA,NA,NA,50,NA,"branching_closed",20,0.5,"DD","common","clear","broad",2730144.952,"pacific","colonial",1.38157918660373,NA,"z",NA,"",""
"Acropora listeri",95,"Acropora","Acroporidae",-29.93333,26.05333,-12.76,173,18988.8732610758,72723633.9770983,50,1,"branching_closed",16.25,3,"VU","uncommon","clear","exposed",28216208.79,"pacific","colonial",1.0061734987798,NA,"z","C","spawner",""
"Acropora loisetteae",96,"Acropora","Acroporidae",-14,11.52,5.28166500953675,18,8076.06681678686,13158833.7912195,NA,1.6,"branching_open",26,1,"VU","uncommon","clear","protected",6108429.935,"pacific","colonial",1.77506157758911,NA,"z",NA,"",""
"Acropora lokani",97,"Acropora","Acroporidae",-16.055,6.88888,-5.3500000955,28,4994.35120261614,9041602.56582996,30,0.9,"branching_closed",27.6666666666667,8,"VU","uncommon","clear","broad",6895796.583,"pacific","colonial",1.40530922977344,NA,"z",NA,"",""
"Acropora longicyathus",98,"Acropora","Acroporidae",-23.7000007629395,26.5,-16.1159162518775,488,16610.9240385478,65164544.4258424,NA,1.3,"branching_open",16.5,6.66666666666667,"LC","common","clear","broad",33008392.68,"pacific","colonial",1.05102193684241,NA,"z","C","spawner","competitive"
"Acropora loripes",99,"Acropora","Acroporidae",-29.93333,29.3700008392334,-12.2983348664856,826,19878.4503082255,79763594.9012348,45,1.2,"branching_closed",26,2.5,"NT","common","clear","broad",35727423.81,"pacific","colonial",0.758407985582515,NA,"z","C","spawner","competitive"
"Acropora loveli",100,"Acropora","Acroporidae",-31.54999924,7.420000076,-29.30199981,14,9056.62967051744,13381041.2893916,NA,1.7,"branching_open",23.3333333333333,1,"VU","rare","clear","protected",11624054.17,"pacific","colonial",0.316054933,NA,"z",NA,"spawner",""
"Acropora lutkeni",101,"Acropora","Acroporidae",-30.15921,32.77167,-12.9816647711182,490,19788.0320384095,84212331.6278237,600,1.2,"branching_open",19,3,"NT","uncommon","clear","exposed",31558926.84,"pacific","colonial",0.385907844269643,NA,"z","C","spawner","competitive"
"Acropora macrostoma",102,"Acropora",NA,NA,NA,NA,NA,NA,NA,100,NA,"corymbose",12,0.5,"DD","uncommon","clear","exposed",8888414.081,"pacific","colonial",0.313543922867311,NA,"z",NA,"",""
"Acropora magnifica",103,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,"clear","protected",NA,"pacific",NA,NA,NA,"z",NA,"",""
"Acropora maryae",104,"Acropora","Acroporidae",-21.1,27.7399997711182,-10.235,22,5894.35581757501,10067155.7333968,66.25,NA,"branching_closed",15,2,"DD","common","clear","exposed",358683.913,"pacific","colonial",1.42229957309367,NA,"z",NA,"spawner",""
"Acropora massawensis",105,"Acropora",NA,NA,NA,NA,NA,NA,NA,200,NA,"branching_closed",15,3,"DD","uncommon","clear","exposed",529607.532,"pacific","colonial",0.942292335538865,NA,"z",NA,"",""
"Acropora meridiana",106,"Acropora",NA,NA,NA,NA,NA,NA,NA,100,NA,"branching_closed",15,3,"DD","uncommon","clear","broad",2383527.705,"pacific","colonial",1.807790985,NA,"z",NA,"",""
"Acropora microclados",107,"Acropora","Acroporidae",-29.92772,30.82806,-11.4499998092652,354,19839.9248988899,82993624.7336787,100,1.2,"corymbose",31.6666666666667,5,"VU","uncommon","clear","exposed",27755825.11,"pacific","colonial",1.24690789613032,NA,"z","C","spawner","competitive"
"Acropora microphthalma",108,"Acropora","Acroporidae",-28.3,26.2000007629395,-15.7263336181641,796,18714.7462947786,72899248.1009015,200,1,"branching_open",21.5,6,"LC","common","turbid","broad",39906453.55,"pacific","colonial",3.51583981356175,NA,"z","C","spawner","competitive"
"Acropora millepora",109,"Acropora","Acroporidae",-32,32.79722,-16.3848333377881,952,16404.3690255599,82953067.8818549,NA,1.6,"corymbose",21,2,"NT","common","clear","broad",28567708.96,"pacific","colonial",0.886234689260959,NA,"z","C","spawner","competitive"
"Acropora minuta",110,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"encrusting",8,1,"DD","common","clear","exposed",834824.275,"pacific","colonial",2.06214637667898,NA,"z",NA,"",""
"Acropora mirabilis",111,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"corymbose",44,2,"DD","uncommon","clear","broad",10335349.43,"pacific","colonial",1.06681965150427,NA,"z",NA,"",""
"Acropora monticulosa",112,"Acropora","Acroporidae",-27.6,26.2000007629395,-14.22999954,215,19055.1217811335,67137922.3016002,300,1.2,"digitate",13,1,"NT","uncommon","clear","exposed",31427596.67,"pacific","colonial",1.41143821555589,NA,"z","C","spawner",""
"Acropora mossambica",113,"Acropora","Acroporidae",-31.55667,12.125,-4.60333,17,17532.8968034081,23318616.5372855,NA,0.9,NA,26,NA,NA,NA,NA,NA,NA,"pacific","colonial",NA,NA,"z",NA,"",""
"Acropora multiacuta",114,"Acropora","Acroporidae",-23.34123421,11.3199996948242,-6.3,55,7826.28889865142,12884882.7462235,NA,2,"branching_closed",22.5,3,"VU","rare","clear","exposed",10978464.64,"pacific","colonial",1.49274549391536,NA,"z",NA,"",""
"Acropora muricata",66,"Acropora","Acroporidae",-28.6350002288818,33.69277,-14.6700000781469,1024,19870.7243107451,104237994.841997,625,1.2,"branching_open",20,4.33333333333333,"NT","common","clear","protected",40698614.49,"pacific","colonial",2.01943792018288,89.72,"z","C","spawner","competitive"
"Acropora nana",115,"Acropora","Acroporidae",-31.55,22,-11.52000046,225,18471.1226517445,67955239.1548527,15,1,"branching_closed",12.5,1,"NT","uncommon","clear","exposed",27791575.85,"pacific","colonial",1.12734146923298,NA,"z",NA,"spawner",""
"Acropora nasuta",116,"Acropora","Acroporidae",-31.55166,32.77917,-14.19585,1094,19878.5929603198,94337201.9438195,80,1.1,"corymbose",22.3333333333333,1.5,"NT","common","clear","exposed",44741771.61,"pacific","colonial",0.86549527717715,41.9,"z","C","spawner",""
"Acropora natalensis",117,"Acropora","Acroporidae",-27.487,-12.1075,-13.5297222137451,7,2414.4787294947,367238.197541843,NA,NA,"tables_or_plates",30,5,"DD","uncommon","clear","exposed",1522244.522,"pacific","colonial",0.410822963190635,NA,"z",NA,"",""
"Acropora navini",118,"Acropora","Acroporidae",-10.39999962,-10.3999996185303,-10.3999996192651,2,0,0,NA,NA,"branching_closed",20,5,"DD","common","clear","broad",372470.5907,"pacific","colonial",1.04319257539221,NA,"z",NA,"",""
"Acropora ocellata",120,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"digitate",12,2,"DD","rare","clear","exposed",3692979.173,"pacific","colonial",0.385907844269643,NA,"z",NA,"",""
"Acropora orbicularis",121,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tables_or_plates",12,3,"DD","uncommon","clear","exposed",5044564.072,"pacific","colonial",0.663357722255611,NA,"z",NA,"",""
"Acropora palmata",124,"Acropora","Acroporidae",-17.85000038,29.7485084533691,19.1187505722046,400,18909.6281338651,56978633.2157587,400,1.6,"branching_open",20,0.05,"CR","uncommon","clear","exposed",3902044.047,"atlantic","colonial",3.23614716404357,71.0357142857143,"z","A","spawner","competitive"
