"species","id","genus","family","min.lat","max.lat","med.lat","n","gc.dist","area","mean.size","mean.corallite.size","growth_Veron","depth.lower","depth.upper","IUCN","loc.abundance","clarity.pref","exposure.pref","range.size.Veron","ocean","growth","origin","growth.rate","symbio","clade","larval","strategy"
"Plerogyra eurysepta",1215,"Plerogyra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","both","protected",NA,"pacific",NA,NA,NA,"z",NA,"",""
"Plerogyra multilobata",1216,"Plerogyra",NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,"DD","uncommon","turbid","protected",NA,NA,NA,0.330496932858361,NA,"z",NA,"",""
"Plerogyra simplex",1217,"Plerogyra","Scleractinia incertae sedis",-6.3,-0.46666,-4.8,7,3661.69236515281,1167551.80690943,NA,20,"branching_closed",30,3,"NT","common","turbid","protected",17558049.56,"pacific","colonial",0.334416913079703,NA,"z",NA,"",""
"Plerogyra sinuosa",1218,"Plerogyra","Scleractinia incertae sedis",-23.48333,19.7017002105713,-16.15691662,298,17676.306501639,57905591.1953374,100,30,"massive",30,2.5,"NT","common","clear","protected",41688839.46,"pacific","colonial",0.336292354606763,NA,"z","C","","stress-tolerant"
"Plerogyra turbida",1219,"Plerogyra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,NA,NA,"z",NA,"",""
"Plesiastrea versipora",1221,"Plesiastrea","Scleractinia incertae sedis",-55.533333,23.67899,-17.9610996223169,412,15329.3230443859,98686121.5181101,233.333333333333,4.6,"massive",30,13.3333333333333,"LC","uncommon","clear","protected",44096908.32,"pacific","colonial",8.07721459723286,4.1375,"z","C","spawner","stress-tolerant"
"Pleuractis granulosa",741,"Pleuractis","Fungiidae",-21.1,27.7900009155273,-12.27999973,217,18213.4949305931,65214075.5530477,13.5,120,"massive",47.6666666666667,28.5,"LC","common","clear","protected",39947089.69,"pacific","solitary",2.60985098348329,5.72565891472868,"z","C","spawner","stress-tolerant"
"Pleuractis gravis",742,"Pleuractis","Fungiidae",-23.48333,11.52,-11.00833,80,11760.0982820745,30212387.0898355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,4.39476558953316,NA,"z",NA,"",""
"Pleuractis moluccensis",746,"Pleuractis","Fungiidae",-23.38330078125,20.17,-13.9696,151,18566.5961323352,53998342.8956944,NA,160,"encrusting",30,3,"LC","common","turbid","protected",30333633.27,"pacific","solitary",0.946711842343403,NA,"z",NA,"",""
"Pleuractis paumotensis",747,"Pleuractis","Fungiidae",-21.833,21.5699996948242,-13.13000011,279,19640.5947477261,62284871.9553461,25,235,"massive",30,11,"LC","common","clear","protected",41218698.38,"pacific","solitary",1.26942277208755,NA,"z","C","spawner",""
"Pleuractis seychellensis",753,"Pleuractis","Fungiidae",-21.1,11.5,-12.036595835,42,3861.84610046756,7408421.7120178,15,88.8,"massive",25,5,"VU","common","clear","broad",3536829.784,"pacific","solitary",1.26942277208755,NA,"z",NA,"",""
"Pleuractis taiwanensis",757,"Pleuractis",NA,NA,NA,NA,NA,NA,NA,28,193,"massive",35,15,"VU","uncommon","clear","broad",2025817.994,"pacific","solitary",0.946711842343403,NA,"z",NA,"",""
"Pocillopora acuta",1559,"Pocillopora","Pocilloporidae",-30.3099994659424,7.829999924,-1.28999996192652,16,14683.5611752311,36937189.9537332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",NA,"",""
"Pocillopora aliciae",1560,"Pocillopora","Pocilloporidae",-30.90611,-30.2,-30.20002,3,80.3112035931329,0.0253776407082569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",NA,"",""
"Pocillopora ankeli",1222,"Pocillopora","Pocilloporidae",-20.3833332061768,13.5403,7.237777,9,12799.2026963802,25402934.2262588,NA,1,"branching_closed",10,1,"VU","common","clear","broad",9094482.431,"pacific","colonial",2.31304186030288,NA,"z",NA,"",""
"Pocillopora bairdi",1561,"Pocillopora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",NA,"",""
"Pocillopora brevicornis",1236,"Pocillopora","Pocilloporidae",-55.533332824707,27.0900001525879,6.40999984720606,46,16483.3072619693,70166445.5809594,NA,NA,NA,NA,NA,"LC","uncommon","clear","exposed",NA,"pacific",NA,NA,NA,"z",NA,"",""
"Pocillopora capitata",1223,"Pocillopora","Pocilloporidae",-0.764169991016388,28.402416229248,6.013333321,67,13711.8213226751,24819050.5147741,NA,0.4,"branching_open",20,1,"LC","uncommon","clear","exposed",9268713.615,"pacific","colonial",2.01107724793848,NA,"z","C","",""
"Pocillopora damicornis",1224,"Pocillopora","Pocilloporidae",-55.533333,33.4500007629395,-15.8912167549133,1184,19908.2634744496,129788779.276712,200,1,"branching_closed",25.2857142857143,4,"LC","common","both","broad",49524503.55,"pacific","colonial",1.84728458140922,35.4126086956522,"z","C","","weedy"
"Pocillopora danae",1225,"Pocillopora",NA,NA,NA,NA,NA,NA,NA,100,1.2,"branching_open",15,1,"VU","uncommon","clear","protected",16686873.54,"pacific","colonial",2.87310471996783,8.2,"z",NA,"",""
"Pocillopora effusa",1226,"Pocillopora",NA,NA,NA,NA,NA,NA,NA,200,1.1,"branching_open",NA,NA,"DD","rare","clear","broad",1095640.401,"pacific","colonial",1.86291237285799,NA,"z",NA,"",""
"Pocillopora elegans",1227,"Pocillopora","Pocilloporidae",-21.1,19.3253993988037,2.958499908,57,18471.6368395905,62492197.7657712,NA,1,"branching_closed",25,0.5,"VU","uncommon","clear","broad",25064136.19,"pacific","colonial",2.09096564010466,36.9,"z","C","spawner","competitive"
"Pocillopora eydouxi",1228,"Pocillopora","Pocilloporidae",-55.533333,28.3799991607666,-11.694,619,19440.9854144679,104181080.668537,100,1,"branching_open",20,2,"NT","common","clear","exposed",47129757.29,"pacific","colonial",2.7177794822173,41.3666666666667,"z","C","spawner","competitive"
"Pocillopora fungiformis",1229,"Pocillopora","Pocilloporidae",-23.3700008392334,-23.3700008392334,-23.3700008392334,1,0,0,200,0.8,"encrusting",15,0.5,"EN","uncommon","clear","exposed",914512.1916,"pacific","colonial",2.39670345639518,NA,"z",NA,"",""
"Pocillopora indiania",1230,"Pocillopora","Pocilloporidae",-21.1,11.5,-12.76,47,3861.84610046756,7408436.09391339,100,1.2,"branching_closed",20,2,"VU","uncommon","clear","broad",2531015.671,"pacific","colonial",2.14701001342763,NA,"z",NA,"",""
"Pocillopora inflata",1231,"Pocillopora","Pocilloporidae",-1.36000001430511,15.7399997711182,-0.74000001,21,2033.13621891398,1628826.57658013,NA,1,"branching_closed",10,1,"VU","rare","clear","exposed",1548595.623,"pacific","colonial",2.24107922733819,31.5,"z",NA,"",""
"Pocillopora kelleheri",1232,"Pocillopora","Pocilloporidae",-17.21245003,-11.6999998092651,-17.1621494296607,6,653.162001145674,1654.8460902572,NA,1.2,"branching_open",40,5,"LC","uncommon","clear","exposed",12205089.61,"pacific","colonial",2.09481983504719,NA,"z",NA,"",""
"Pocillopora ligulata",1233,"Pocillopora","Pocilloporidae",-29.9799995422363,28.4545993804932,23.6896944046021,144,18795.7632099662,44722748.0649146,50,0.8,"branching_closed",NA,NA,"LC","uncommon","clear","exposed",15897427.79,"pacific","colonial",2.13833190315619,14.5,"z","C","",""
"Pocillopora meandrina",1234,"Pocillopora","Pocilloporidae",-28.3,28.4545993804932,19.2874698638916,844,18688.2748008711,77310437.8712765,100,0.7,"branching_closed",27,1,"LC","common","clear","broad",35321295.05,"pacific","colonial",5.84100152855223,20.483,"z","C","spawner","competitive"
"Pocillopora molokensis",1235,"Pocillopora","Pocilloporidae",19.2532997131348,28.3799991607666,21.3152332305908,22,2557.76325329399,301180.25620569,NA,1.3,"branching_closed",55,NA,"DD","rare","clear","protected",6985177.369,"pacific","colonial",2.03546829591039,NA,"z","C","",""
"Pocillopora solida",1575,"Pocillopora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",NA,"",""
"Pocillopora verrucosa",1237,"Pocillopora","Pocilloporidae",-55.533333,27.0799999237061,-12.2333,713,19574.897026465,101314355.473583,50,0.7,"branching_closed",37.25,1,"LC","common","clear","broad",46593592.7,"pacific","colonial",1.84728458140922,28.9685714285714,"z","C","spawner","competitive"
"Pocillopora woodjonesi",1238,"Pocillopora","Pocilloporidae",-22.5,11.5,-12.6449998664856,46,18473.7417404588,30869468.659636,NA,1.1,"branching_open",26,2,"LC","uncommon","clear","exposed",32073193.61,"pacific","colonial",2.27779990972433,NA,"z",NA,"",""
"Pocillopora zelli",1239,"Pocillopora","Pocilloporidae",-21.1,11.5,-11.0149619,23,19278.1363966791,20278127.3037115,NA,1.2,"branching_open",15,2,"LC","uncommon","clear","exposed",2267189.145,"pacific","colonial",1.72945803793625,NA,"z",NA,"",""
"Podabacia crustacea",1240,"Podabacia","Fungiidae",-55.533333,28.1299991607666,-16.73483276,451,18803.487743637,101503030.817317,150,3,"encrusting",35,3,"LC","common","clear","broad",37228943.23,"pacific","colonial",1.05469881950054,NA,"z","C","",""
"Podabacia kunzmanni",1580,"Podabacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593460082584412,NA,"z",NA,"",""
"Podabacia lankaensis",1241,"Podabacia","Fungiidae",6.80000019073486,6.80000019073486,6.80000019073486,1,0,0,NA,4.3,"encrusting",NA,NA,NA,"rare","turbid","protected",383737.0738,"pacific","colonial",NA,NA,"z",NA,"",""
"Podabacia motuporensis",1242,"Podabacia","Fungiidae",-20.3833332061768,11.6,-5.17000007614697,32,13847.0690773729,26415494.8581367,NA,2.8,"encrusting",20,5,"NT","uncommon","clear","broad",28453880.95,"pacific","colonial",6.48517021393165,NA,"z",NA,"",""
"Podabacia sinai",1243,"Podabacia","Fungiidae",27.7399997711182,27.7399997711182,27.7399997711182,1,9.50453877449036e-05,0,100,2.7,"laminar",20,10,"DD","uncommon","clear","broad",358683.913,"pacific","colonial",0.593460082584412,NA,"z",NA,"",""
