"sp","iucn","corallite","branching","budding","family","integration","max_depth","branching","range"
"Acropora kimbeensis","Vulnerable",0.6,"MB","extra","Acroporidae",3,40,"MB","6306.19685977969"
"Acropora kirstyae","Vulnerable",0.8,"MB","extra","Acroporidae",3,30,"MB","9851.17679291782"
"Acropora kosurini","Vulnerable",0.8,"HB","extra","Acroporidae",3,20,"HB","14711.272117213"
"Acropora latistella","Least Concern",0.9,"MB","extra","Acroporidae",3,40,"MB","19788.4797198234"
"Acropora loripes","Near Threatened",1.2,"MB","extra","Acroporidae",3,40,"MB","19878.448214427"
"Acropora listeri","Vulnerable",1,"MB","extra","Acroporidae",3,17.5,"MB","18988.8706180881"
"Acropora loisetteae","Vulnerable",1.6,"HB","extra","Acroporidae",3,30,"HB","8076.0639757122"
"Acropora lokani","Vulnerable",0.9,"MB","extra","Acroporidae",3,40,"MB","4994.35086820787"
"Acropora longicyathus","Least Concern",1.3,"HB","extra","Acroporidae",3,25,"HB","17602.4436543652"
"Acropora lutkeni","Near Threatened",1.2,"HB","extra","Acroporidae",3,26,"HB","19788.0315588516"
"Acropora tenuis","Near Threatened",1.2,"MB","extra","Acroporidae",3,30,"MB","18088.8445116945"
"Acropora squarrosa","Least Concern",0.8,"MB","extra","Acroporidae",3,60,"MB","17296.6579092598"
"Acropora polystoma","Vulnerable",1.5,"MB","extra","Acroporidae",3,17.5,"MB","19268.7711133812"
"Acropora microclados","Vulnerable",1.2,"MB","extra","Acroporidae",3,42,"MB","19839.9243631085"
"Acropora palmerae","Vulnerable",1.3,"LB","extra","Acroporidae",3,23,"LB","16334.5177246161"
"Acropora monticulosa","Near Threatened",1.2,"LB","extra","Acroporidae",3,14,"LB","19055.11882826"
"Acropora multiacuta","Vulnerable",2,"MB","extra","Acroporidae",3,30,"MB","9752.16290637321"
"Acropora nasuta","Near Threatened",1.1,"MB","extra","Acroporidae",3,30,"MB","19878.5929736517"
"Isopora palifera","Near Threatened",1.4,"HB","extra","Acroporidae",3,40,"HB","18519.7158999489"
"Acropora palmata","Critically Endangered",1.6,"HB","extra","Acroporidae",3,40,"HB","14241.7569077535"
"Acropora paniculata","Vulnerable",0.8,"LB","extra","Acroporidae",3,42,"LB","18947.813529816"
"Acropora valida","Least Concern",0.9,"MB","extra","Acroporidae",3,45,"LB","19895.26344891"
"Acropora pharaonis","Vulnerable",1.5,"LB","extra","Acroporidae",3,25,"LB","16272.1392861588"
"Acropora pichoni","Near Threatened",0.9,"LB","extra","Acroporidae",3,70,"LB","5407.95706027199"
"Acropora robusta","Least Concern",1.5,"HB","extra","Acroporidae",3,20,"HB","18760.3181315662"
"Acropora plumosa","Vulnerable",1.2,"LB","extra","Acroporidae",3,30,"LB","4857.65523012635"
"Acropora pruinosa","Data Deficient",1.6,"MB","extra","Acroporidae",3,20,"MB","3378.750450369"
"Acropora pulchra","Least Concern",1.2,"HB","extra","Acroporidae",3,20,"HB","17228.7497937952"
"Acropora speciosa","Vulnerable",0.8,"MB","extra","Acroporidae",3,65,"MB","16949.4708028399"
"Acropora retusa","Vulnerable",0.9,"LB","extra","Acroporidae",3,28.5,"LB","19055.11882826"
"Acropora roseni","Endangered",1.6,"HB","extra","Acroporidae",3,12,"HB","3861.84610046756"
"Acropora rudis","Endangered",1.2,"HB","extra","Acroporidae",3,30,"HB","2818.80206886672"
"Acropora russelli","Vulnerable",1,"MB","extra","Acroporidae",3,30,"MB","8520.57155234257"
"Acropora samoensis","Least Concern",1.8,"LB","extra","Acroporidae",3,15,"MB","19955.7937504208"
"Acropora sarmentosa","Least Concern",2,"MB","extra","Acroporidae",3,26,"MB","15474.6080519821"
"Acropora secale","Near Threatened",1.2,"MB","extra","Acroporidae",3,30,"MB","19878.448214427"
"Acropora simplex","Vulnerable",0.8,"LB","extra","Acroporidae",3,60,"LB","4146.63994293344"
"Acropora solitaryensis","Vulnerable",1.1,"LB","extra","Acroporidae",3,40,"LB","18065.9681523587"
"Acropora spicifera","Vulnerable",1.1,"LB","extra","Acroporidae",3,12,"LB","16974.7409961493"
"Acropora stoddarti","Data Deficient",1.3,"LB","extra","Acroporidae",3,30,"LB","5555.72419877339"
"Acropora striata","Vulnerable",1.1,"MB","extra","Acroporidae",3,34.1,"MB","19787.46999748"
"Acropora subglabra","Least Concern",0.8,"HB","extra","Acroporidae",3,40,"HB","12469.8229841468"
"Acropora subulata","Least Concern",1.2,"LB","extra","Acroporidae",3,30,"LB","18306.2681287652"
"Acropora suharsonoi","Endangered",0.8,"MB","extra","Acroporidae",3,25,"MB","46.4126110658722"
"Acropora tanegashimensis","Data Deficient",0.8,"LB","extra","Acroporidae",3,15,"LB","0"
"Acropora tenella","Vulnerable",0.8,"LB","extra","Acroporidae",3,70,"LB","5591.7079398035"
"Acropora torihalimeda","Data Deficient",0.8,"MB","extra","Acroporidae",3,63,"MB","23.1280104150986"
"Acropora tortuosa","Least Concern",1.3,"MB","extra","Acroporidae",3,35,"MB","18398.6469860495"
"Acropora tumida","Data Deficient",1.4,"MB","extra","Acroporidae",3,40,"MB","2437.86429482996"
"Acropora turaki","Vulnerable",0.8,"HB","extra","Acroporidae",3,20,"HB","6808.73547450657"
"Acropora valenciennesi","Least Concern",1.5,"HB","extra","Acroporidae",3,45,"HB","16199.1292478298"
"Acropora variolosa","Least Concern",1.2,"HB","extra","Acroporidae",3,30,"HB","5320.75314630027"
"Acropora vaughani","Vulnerable",1.1,"MB","extra","Acroporidae",3,40,"MB","19955.7937504208"
"Acropora verweyi","Vulnerable",1.1,"MB","extra","Acroporidae",3,29,"MB","18912.9998191839"
"Acropora walindii","Vulnerable",0.5,"HB","extra","Acroporidae",3,40,"HB","9580.12990667368"
"Acropora willisae","Vulnerable",1,"MB","extra","Acroporidae",3,40,"MB","14557.4216698093"
"Acropora yongei","Least Concern",1.2,"MB","extra","Acroporidae",3,21,"MB","15985.08576524"
"Agaricia agaricites","Least Concern",5.5,"MB","intra","Agariciidae",6,75,"MB","8055.73698943834"
"Agaricia fragilis","Data Deficient",5,"LB","intra","Agariciidae",6,102,"LB","8209.74371021357"
"Agaricia grahamae","Least Concern",6.5,"MB","intra","Agariciidae",6,115,"MB","3339.31712760537"
"Agaricia humilis","Least Concern",6,"LB","intra","Agariciidae",6,20,"LB","8445.21738270104"
"Agaricia lamarcki","Vulnerable",7.9,"MB","intra","Agariciidae",6,76,"MB","17883.6119610917"
"Agaricia tenuifolia","Near Threatened",5.1,"MB","intra","Agariciidae",6,18,"MB","16165.3005921046"
"Agaricia undata","Data Deficient",6,"MB","intra","Agariciidae",6,80,"MB","3856.50619250008"
"Alveopora allingi","Vulnerable",3.7,"MB","extra","Acroporidae",4,60,"MB","19842.2809632655"
"Alveopora catalai","Near Threatened",4.1,"MB","extra","Acroporidae",4,30,"MB","13916.1237393522"
"Alveopora daedalea","Vulnerable",2.2,"MB","extra","Acroporidae",4,30,"MB","13060.4390940693"
"Alveopora excelsa","Endangered",2,"NB","extra","Acroporidae",4,30,"NB","10401.2335785296"
"Alveopora fenestrata","Vulnerable",3.4,"NB","extra","Acroporidae",4,30,"NB","19910.2671044694"
"Alveopora gigas","Vulnerable",6.6,"MB","extra","Acroporidae",4,30,"MB","12065.2122464222"
"Alveopora japonica","Vulnerable",2.7,"NB","extra","Acroporidae",4,NA,"NB",NA
"Alveopora marionensis","Vulnerable",3.4,"NB","extra","Acroporidae",4,30,"NB","11461.7583084131"
"Alveopora minuta","Endangered",1.3,"NB","extra","Acroporidae",4,20,"NB","4954.2121474591"
"Alveopora ocellata","Data Deficient",1.5,"LB","extra","Acroporidae",4,60,"LB","23.4317295140078"
"Alveopora spongiosa","Near Threatened",1.5,"MB","extra","Acroporidae",4,50,"MB","16114.5694591937"
"Alveopora tizardi","Least Concern",1.5,"LB","extra","Acroporidae",4,50,"LB","12436.5011045994"
"Alveopora verrilliana","Vulnerable",2.1,"NB","extra","Acroporidae",4,70,"NB","12053.0996369103"
"Alveopora viridis","Near Threatened",1.7,"MB","extra","Acroporidae",4,50,"MB","15268.7374519772"
"Anacropora forbesi","Least Concern",0.5,"MB","extra","Acroporidae",3,25,"MB","15152.1423946603"
"Anacropora matthai","Vulnerable",0.6,"MB","extra","Acroporidae",3,20,"MB","13263.5102581904"
"Anacropora pillai","Data Deficient",0.6,"MB","extra","Acroporidae",3,25,"MB",NA
"Anacropora puertogalerae","Vulnerable",0.8,"MB","extra","Acroporidae",3,20,"MB","13966.902785801"
"Anacropora reticulata","Vulnerable",0.9,"MB","extra","Acroporidae",3,15,"MB","5235.14683731663"
"Anacropora spinosa","Endangered",0.9,"MB","extra","Acroporidae",3,15,"MB","2141.93470092742"
"Anacropora spumosa","Data Deficient",0.7,"MB","extra","Acroporidae",3,15,"MB","5062.5764551366"
"Anomastraea irregularis","Vulnerable",5.4,"NB","both","Coscinaraeidae",3,20,"NB","7173.11094344364"
"Astreopora cucullata","Vulnerable",2.3,"NB","extra","Acroporidae",3,15,"NB","14379.3424798481"
"Astreopora expansa","Near Threatened",2.3,"MB","extra","Acroporidae",3,15,"MB","18076.8819339829"
"Astreopora gracilis","Least Concern",1.6,"NB","extra","Acroporidae",3,15,"NB","18737.1554852505"
"Astreopora incrustans","Vulnerable",0.9,"LB","extra","Acroporidae",3,40,"LB","15282.0480275321"
"Astreopora listeri","Least Concern",1.6,"NB","extra","Acroporidae",3,30,"NB","18088.8445116945"
"Astreopora macrostoma","Near Threatened",2.5,"LB","extra","Acroporidae",3,15,"LB","6445.19777584562"
"Astreopora moretonensis","Vulnerable",2.5,"MB","extra","Acroporidae",3,15,"MB","7675.45699764794"
"Astreopora myriophthalma","Least Concern",2.3,"NB","extra","Acroporidae",3,50,"NB","18727.5894412305"
"Astreopora ocellata","Least Concern",2.5,"NB","extra","Acroporidae",3,30,"NB","15325.98648851"
"Astreopora randalli","Least Concern",1.5,"MB","extra","Acroporidae",3,15,"MB","18519.7158999489"
"Astreopora scabra","Least Concern",2.5,"NB","extra","Acroporidae",3,15,"NB","0.000134414476389852"
"Astreopora suggesta","Least Concern",1.6,"NB","extra","Acroporidae",3,15,"NB","14088.0470275387"
"Australogyra zelli","Vulnerable",7.2,"MB","intra","Merulinidae",5,15,"MB","4715.40635226677"
"Lobophyllia rowleyensis","Near Threatened",8.5,"NB","intra","Lobophylliidae",2,40,"NB","6782.349128622"
"Dipsastraea amicorum","Least Concern",6,"NB","intra","Merulinidae",3,20,"NB","19980.9487167049"
"Dipsastraea laddi","Vulnerable",6.8,"NB","intra","Merulinidae",3,10,"NB","3852.53110660201"
"Blastomussa wellsi","Near Threatened",18.9,"NB","extra","Plerogyridae",2,40,"NB","10526.7289590534"
"Boninastrea boninensis","Data Deficient",6.5,"NB","intra","Merulinidae",4,NA,"NB","0"
"Cantharellus doederleini","Least Concern",53.3,"NB","","Fungiidae",0,30,"NB","3861.84610046756"
"Cantharellus jebbi","Least Concern",20,"LB","","Fungiidae",0,25,"LB","3912.70181668514"
"Cantharellus noumeae","Endangered",200,"LB","","Fungiidae",0,30,"LB","14928.9646204048"
"Catalaphyllia jardinei","Vulnerable",21.3,"NB","intra","Merulinidae",7,40,"NB","13891.5748827864"
"Caulastraea echinulata","Vulnerable",9.4,"NB","intra","Merulinidae",2,18,"NB",NA
"Caulastraea furcata","Least Concern",7.2,"NB","intra","Merulinidae",2,30,"NB",NA
"Cladocora arbuscula","Least Concern",2.9,"MB","extra","Scleractinia incertae sedis",2,25,"MB","14228.708457426"
"Cladocora caespitosa","Endangered",4.5,"NB","extra","Scleractinia incertae sedis",2,NA,"NB","9807.73209262195"
"Coeloseris mayeri","Least Concern",8.1,"NB","intra","Agariciidae",4,5,"NB","16610.9239735216"
"Colpophyllia natans","Least Concern",8.7,"NB","intra","Faviidae",6,55,"NB","4089.37339766772"
"Psammocora columna","Least Concern",6,"NB","intra","Psammocoridae",4,30,"NB",NA
"Coscinaraea crassa","Near Threatened",8.6,"LB","both","Coscinaraeidae",3,30,"LB","11630.735762867"
"Psammocora exesa","Least Concern",6.1,"MB","intra","Psammocoridae",4,35,"MB",NA
"Coscinaraea hahazimaensis","Vulnerable",3,"NB","both","Coscinaraeidae",3,NA,"NB","0"
"Coscinaraea marshae","Least Concern",5.3,"LB","both","Coscinaraeidae",3,NA,"LB","9017.69183502313"
"Coscinaraea mcneilli","Least Concern",5.8,"LB","both","Coscinaraeidae",3,NA,"LB","3873.07417314353"
"Coscinaraea monile","Least Concern",50,"NB","both","Coscinaraeidae",3,70,"NB","14939.2936412358"
"Cycloseris wellsi","Least Concern",34,"MB","intra","Fungiidae",0,58,"MB","13272.6346947263"
"Ctenactis albitentaculata","Near Threatened",260,"NB","intra","Fungiidae",0,20,"NB","8477.55858326096"
"Ctenactis crassa","Least Concern",236,"NB","intra","Fungiidae",0,67,"NB","11862.6574332956"
"Ctenactis echinata","Least Concern",284,"NB","intra","Fungiidae",0,20,"NB","19328.1200364106"
"Lithophyllon spinifer","Least Concern",118,"NB","intra","Fungiidae",5,40,"NB","6356.67700627619"
"Cycloseris tenuis","Least Concern",46.7,"NB","intra","Fungiidae",0,27,"NB","19099.0114196809"
"Cycloseris fragilis","Least Concern",48,"NB","intra","Fungiidae",0,40,"NB","18806.9108958762"
"Cyphastrea agassizi","Vulnerable",2.2,"NB","extra","Merulinidae",3,20,"NB","12071.6758708394"
"Cyphastrea chalcidicum","Least Concern",2.8,"NB","extra","Merulinidae",3,50,"NB","19821.4292557355"
"Cyphastrea decadia","Least Concern",2.8,"MB","extra","Merulinidae",3,40,"MB","3975.4604620623"
"Cyphastrea hexasepta","Vulnerable",1,"NB","extra","Merulinidae",3,25,"NB","0"
"Cyphastrea japonica","Least Concern",1.9,"NB","extra","Merulinidae",3,20,"NB","5195.14753958643"
"Cyphastrea microphthalma","Least Concern",2.7,"NB","extra","Merulinidae",3,50,"NB","17180.4450268684"
"Cyphastrea ocellina","Vulnerable",2.5,"NB","extra","Merulinidae",3,20,"NB","10958.6700737294"
"Cyphastrea serailia","Least Concern",2.4,"NB","extra","Merulinidae",3,50,"NB","19799.5483726661"
"Dendrogyra cylindrus","Vulnerable",4.2,"MB","intra","Meandrinidae",6,25,"MB","3055.55462002241"
"Dichocoenia stokesii","Vulnerable",4.7,"NB","intra","Meandrinidae",3,72,"NB","13130.2259363562"
"Diploastrea heliopora","Near Threatened",9,"NB","extra","Diploastraeidae",4,30,"NB","16470.9033447892"
"Pseudodiploria clivosa","Least Concern",5.8,"NB","intra","Faviidae",5,NA,"NB","3904.73512910091"
"Diploria labyrinthiformis","Least Concern",5.8,"NB","intra","Faviidae",6,43,"NB","12459.281736805"
"Pseudodiploria strigosa","Least Concern",5.1,"NB","intra","Faviidae",5,NA,"NB","17762.5222682593"
"Duncanopsammia axifuga","Near Threatened",6.7,"MB","extra","Dendrophylliidae",1,30,"MB","3932.82409331014"
"Echinomorpha nishihirai","Near Threatened",115.5,"LB","intra","Lobophylliidae",0,40,"LB","11162.2512392591"
"Echinophyllia aspera","Least Concern",8.8,"MB","intra","Lobophylliidae",5,90,"MB","18661.8467732102"
"Echinophyllia costata","Vulnerable",6,"MB","intra","Lobophylliidae",5,10,"MB","0"
"Oxypora echinata","Least Concern",12.9,"MB","intra","Lobophylliidae",5,40,"MB",NA
"Echinophyllia echinoporoides","Least Concern",5.7,"LB","intra","Lobophylliidae",5,30,"LB","13013.5228220756"
"Pectinia maxima","Endangered",7.5,"MB","intra","Merulinidae",5,25,"MB","481.218140647348"
"Echinophyllia orpheensis","Least Concern",10.1,"NB","intra","Lobophylliidae",5,30,"NB","14255.7889284266"
"Echinophyllia patula","Least Concern",7,"MB","intra","Lobophylliidae",5,40,"MB","7907.66905992065"
"Echinophyllia pectinata","Data Deficient",7.2,"LB","intra","Lobophylliidae",5,40,"LB",NA
"Echinopora taylorae","Near Threatened",5,"MB","extra","Merulinidae",3,12,"MB",NA
"Echinopora ashmorensis","Vulnerable",5.1,"LB","extra","Merulinidae",3,20,"LB","0.000134414476389852"
"Echinopora forskaliana","Near Threatened",5.8,"NB","extra","Merulinidae",3,20,"NB","5099.1990685785"
"Echinopora fruticulosa","Near Threatened",4.8,"MB","extra","Merulinidae",3,20,"MB","9.50453877449036e-05"
"Echinopora gemmacea","Least Concern",4.2,"MB","extra","Merulinidae",3,50,"MB","17133.4326777179"
"Echinopora hirsutissima","Least Concern",4.2,"NB","extra","Merulinidae",3,40,"NB","13928.2450453593"
"Echinopora horrida","Near Threatened",2.4,"LB","extra","Merulinidae",3,25,"LB","11860.6929452162"
"Echinopora irregularis","Data Deficient",4.2,"LB","extra","Merulinidae",3,4,"LB","1898.42954690686"
"Echinopora lamellosa","Least Concern",3.4,"MB","extra","Merulinidae",3,50,"MB","17210.8709245552"
"Echinopora mammiformis","Near Threatened",8.9,"LB","extra","Merulinidae",3,15,"LB","5719.24640065089"
"Echinopora pacifica","Near Threatened",4.6,"MB","extra","Merulinidae",3,15,"MB","6561.70337269824"
"Echinopora robusta","Vulnerable",8.6,"NB","extra","Merulinidae",3,25,"NB","3861.84610046756"
"Echinopora tiranensis","Data Deficient",3.5,"LB","extra","Merulinidae",3,15,"LB","0"
"Fimbriaphyllia ancora","Vulnerable",45,"NB","intra","Euphylliidae",7,30,"NB","12130.0106237153"
"Euphyllia cristata","Vulnerable",25,"NB","intra","Euphylliidae",7,35,"NB","9086.2093226937"
"Fimbriaphyllia divisa","Near Threatened",22,"NB","intra","Euphylliidae",7,35,"NB","9086.2093226937"
"Euphyllia glabrescens","Near Threatened",8,"NB","intra","Euphylliidae",7,35,"NB","16338.9079820367"
"Fimbriaphyllia paraancora","Vulnerable",30,"NB","intra","Euphylliidae",7,30,"NB","3423.26574358925"
"Fimbriaphyllia paradivisa","Vulnerable",45,"NB","intra","Euphylliidae",7,72,"NB","2292.49787883543"
"Euphyllia paraglabrescens","Vulnerable",51,"NB","intra","Euphylliidae",7,15,"NB","0"
"Fimbriaphyllia yaeyamensis","Near Threatened",25.2,"NB","intra","Euphylliidae",7,30,"NB","9.50453877449036e-05"
"Eusmilia fastigiata","Least Concern",20.9,"NB","intra","Meandrinidae",2,65,"NB","4169.53275523781"
"Dipsastraea albida","Near Threatened",8.3,"NB","intra","Merulinidae",3,10,"NB","67.0311111333986"
"Dipsastraea danai","Least Concern",9.2,"NB","intra","Merulinidae",3,20,"NB","16607.4309497244"
"Dipsastraea favus","Least Concern",6.5,"NB","intra","Merulinidae",3,50,"NB","17602.4436543652"
"Favia fragum","Least Concern",5.8,"NB","intra","Faviidae",3,30,"NB","15224.7767336443"
"Dipsastraea helianthoides","Near Threatened",9,"NB","intra","Merulinidae",3,20,"NB","14268.6550693605"
"Dipsastraea lacuna","Near Threatened",9.8,"NB","intra","Merulinidae",3,15,"NB","5062.5764551366"
"Dipsastraea laxa","Near Threatened",5.8,"NB","intra","Merulinidae",3,25,"NB","17602.4436543652"
"Mussismilia leptophylla","Data Deficient",5,"NB","intra","Faviidae",3,NA,"NB","75.4117736930796"
"Dipsastraea lizardensis","Near Threatened",16.7,"NB","intra","Merulinidae",3,20,"NB","12561.1366795575"
"Dipsastraea maritima","Near Threatened",18.8,"NB","intra","Merulinidae",3,30,"NB","13127.3261049538"
"Dipsastraea marshae","Near Threatened",19.3,"NB","intra","Merulinidae",3,15,"NB","2452.03135284579"
"Dipsastraea matthaii","Near Threatened",8.8,"NB","intra","Merulinidae",3,40,"NB","19852.4437386166"
"Dipsastraea pallida","Least Concern",6.8,"NB","intra","Merulinidae",3,50,"NB","19821.4292557355"
"Dipsastraea rosaria","Vulnerable",9.3,"LB","intra","Merulinidae",3,20,"LB","5848.0294568474"
"Dipsastraea rotumana","Least Concern",8.8,"NB","intra","Merulinidae",3,30,"NB","18728.7117467512"
"Favites rotundata","Near Threatened",21.2,"NB","both","Merulinidae",4,20,"NB","13760.8201657223"
"Dipsastraea speciosa","Least Concern",9.9,"NB","intra","Merulinidae",3,45,"NB","19478.489989422"
"Goniastrea stelligera","Near Threatened",5.1,"NB","both","Merulinidae",4,40,"NB","19860.9470737691"
"Dipsastraea truncata","Least Concern",9,"NB","intra","Merulinidae",3,20,"NB","12239.9308609649"
"Dipsastraea veroni","Near Threatened",17.5,"NB","intra","Merulinidae",3,25,"NB","13134.4576399255"
"Dipsastraea vietnamensis","Near Threatened",4.8,"NB","intra","Merulinidae",3,20,"NB","12065.0078371875"
"Favites abdita","Near Threatened",7.5,"NB","both","Merulinidae",4,50,"NB","17602.4436543652"
"Favites acuticollis","Near Threatened",9.3,"NB","both","Merulinidae",4,20,"NB","11842.0590551959"
"Favites chinensis","Near Threatened",7.5,"NB","both","Merulinidae",4,20,"NB","14109.0095667626"
"Favites complanata","Near Threatened",8,"NB","both","Merulinidae",4,50,"NB","17788.0681156481"
"Favites flexuosa","Near Threatened",18.8,"NB","both","Merulinidae",4,20,"NB","17602.4436543652"
"Favites halicora","Near Threatened",16.8,"NB","both","Merulinidae",4,55,"NB","17602.4436543652"
"Favites micropentagonus","Near Threatened",5.2,"NB","both","Merulinidae",4,20,"NB","12370.8025547874"
"Favites paraflexuosus","Near Threatened",16.2,"NB","both","Merulinidae",4,20,"NB","11629.7860837624"
"Favites pentagona","Least Concern",8.5,"NB","both","Merulinidae",4,50,"NB","17787.3716132262"
"Paramontastraea peresi","Near Threatened",5,"NB","extra","Merulinidae",3,40,"NB","5565.86851148411"
"Paragoniastrea russelli","Near Threatened",6,"NB","intra","Merulinidae",7,25,"NB","18088.8445116945"
