"assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","valid"
54159304,132911,"Pavona maldivensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","AGARICIIDAE","Pavona","maldivensis",NA,NA,NA,"(Gardiner, 1905)","Least Concern","",3.1,"Unknown","Global","Pavona maldivensis"
54160045,132915,"Siderastrea stellata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","SIDERASTREIDAE","Siderastrea","stellata",NA,NA,NA,"Verrill 1868","Data Deficient","",3.1,"Unknown","Global","Siderastrea stellata"
54160351,132916,"Turbinaria irregularis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","DENDROPHYLLIIDAE","Turbinaria","irregularis",NA,NA,NA,"Bernard, 1896","Least Concern","",3.1,"Unknown","Global","Turbinaria irregularis"
54160895,132917,"Gardineroseris planulata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","AGARICIIDAE","Gardineroseris","planulata",NA,NA,NA,"Dana, 1846","Least Concern","",3.1,"Unknown","Global","Gardineroseris planulata"
54161679,132922,"Montastrea curta","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Montastrea","curta",NA,NA,NA,"(Dana, 1846)","Least Concern","",3.1,"Decreasing","Global","Astrea curta"
54162387,132923,"Pocillopora woodjonesi","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","POCILLOPORIDAE","Pocillopora","woodjonesi",NA,NA,NA,"Vaughan, 1918","Least Concern","",3.1,"Unknown","Global","Pocillopora woodjonesi"
54162921,132925,"Fungia hexagonalis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FUNGIIDAE","Fungia","hexagonalis",NA,NA,NA,"Edwards &amp; Haine, 1848","Least Concern","",3.1,"Unknown","Global","Sinuorota hexagonalis"
54163337,132936,"Favia pallida","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Favia","pallida",NA,NA,NA,"(Dana, 1846)","Least Concern","",3.1,"Decreasing","Global","Dipsastraea pallida"
54164079,132940,"Acropora acuminata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","acuminata",NA,NA,NA,"(Verrill 1864)","Vulnerable","A4ce",3.1,"Decreasing","Global","Acropora acuminata"
54164687,132948,"Acropora granulosa","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","granulosa",NA,NA,NA,"(Milne Edwards &amp; Haime, 1860)","Near Threatened","",3.1,"Decreasing","Global","Acropora granulosa"
54165319,132954,"Fungia cyclolites","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FUNGIIDAE","Fungia","cyclolites",NA,NA,NA,"Lamarck, 1816","Least Concern","",3.1,"Unknown","Global","Cycloseris cyclolites"
54165929,132956,"Pectinia alcicornis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PECTINIIDAE","Pectinia","alcicornis",NA,NA,NA,"(Saville-Kent, 1871)","Vulnerable","A4c",3.1,"Unknown","Global","Pectinia alcicornis"
54166425,132958,"Pocillopora capitata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","POCILLOPORIDAE","Pocillopora","capitata",NA,NA,NA,"Verrill, 1864","Least Concern","",3.1,"Unknown","Global","Pocillopora capitata"
54166859,132960,"Hydnophora grandis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MERULINIDAE","Hydnophora","grandis",NA,NA,NA,"Gardiner, 1904","Least Concern","",3.1,"Unknown","Global","Hydnophora grandis"
54167334,132965,"Boninastrea boninensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MERULINIDAE","Boninastrea","boninensis",NA,NA,NA,"Yabe &amp; Sugiyama, 1935","Data Deficient","",3.1,"Unknown","Global","Boninastrea boninensis"
54167680,132966,"Acropora rambleri","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","rambleri",NA,NA,NA,"(Bassett-Smith, 1890)","Data Deficient","",3.1,"Decreasing","Global","Acropora speciosa"
