assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
3571197,133040,Echinopora mammiformis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,mammiformis,,,,"(Nemenzo, 1959)",Near Threatened,,3.1,Decreasing,Global
3571758,133112,Acropora caroliniana,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,caroliniana,,,,"Nemenzo, 1976",Vulnerable,A4ce,3.1,Decreasing,Global
3572830,133113,Montipora cactus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,cactus,,,,"Bernard, 1897",Vulnerable,A4ce,3.1,Decreasing,Global
3573218,133042,Millepora complanata,ANIMALIA,CNIDARIA,MILLEPORINA,HYDROZOA,MILLEPORIDAE,Millepora,complanata,,,,Lamarck 1816,Least Concern,,3.1,Stable,Global
3573682,133114,Duncanopsammia axifuga,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,DENDROPHYLLIIDAE,Duncanopsammia,axifuga,,,,"(Milne Edwards &amp; Haime, 1848)",Near Threatened,,3.1,Unknown,Global
3574580,133115,Acropora retusa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,retusa,,,,"(Dana, 1846)",Vulnerable,A4ce,3.1,Decreasing,Global
3577184,133118,Porites sillimaniana,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Porites,sillimaniana,,,,"Nemenzo, 1976",Vulnerable,A4cde,3.1,Unknown,Global
3577639,133047,Mycetophyllia aliciae,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MUSSIDAE,Mycetophyllia,aliciae,,,,"Wells, 1973",Least Concern,,3.1,Stable,Global
3578094,133119,Plerogyra cauliformis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,EUPHYLLIDAE,Plerogyra,cauliformis,,,,"Ditlev, 2003",Data Deficient,,3.1,Unknown,Global
3578380,133048,Astreopora suggesta,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,suggesta,,,,"Wells, 1954",Least Concern,,3.1,Decreasing,Global
