genus,species,name,corallite,shape,max_depth,comment,,,,,,,,,
Madracis,decaseptata,Madracis decaseptata ,1.7,branching,NA,,,,,,,,,,
Madracis,mirabilis,Madracis auretenra ,1.6,branching,40,,,,,,,,,,
Madracis,pharensis,Madracis pharensis ,0.6,encrusting,99,,,,,,,,,,
Madracis,sp.A,Madracis,1.5,branching,NA,,,,,,,,,,
Manicina,aff.mayori,Manicina areolata ,15,massive,65,,,,,,,,,,
Manicina,areolata,Manicina areolata ,15,massive,65,,,,,,,,,,
Manicina,geisteri,Manicina geisteri ,>15,freeliving,NA,,,,,,,,,,
Manicina,grandis,Manicina grandis ,15,massive,NA,,,,,,,,,,
Manicina,jungi,Manicina jungi ,15,freeliving,NA,,,,,,,,,,
Manicina,mayori,Manicina areolata ,>15,massive,65,,,,,,,,,,
Manicina,pliocenica,Manicina pliocenica ,15,freeliving,NA,,,,,,,,,,
Manicina,puntagordensis,Manicina puntagordensis ,>15,freeliving,NA,,,,,,,,,,
Meandrina,braziliensis,Meandrina brasiliensis ,20,massive,15,,,,,,,,,,
Meandrina,meandrites,Meandrina meandrites ,14,massive,80,,,,,,,,,,
Mussa,angulosa,Mussa angulosa ,7,branching,30,,,,,,,,,,
Mussismilia,aff.hartti,Mussismilia harttii ,30,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Mycetophyllia,aliciae,Mycetophyllia aliciae ,20,platy,85,,,,,,,,,,
Mycetophyllia,bullbrooki,Mycetophyllia bullbrooki ,20,platy,NA,,,,,,,,,,
Mycetophyllia,danaana,Mycetophyllia danaana ,20,platy,30,,,,,,,,,,
Mycetophyllia,ferox,Mycetophyllia ferox ,20,platy,30,,,,,,,,,,
Mycetophyllia,lamarckiana,Mycetophyllia lamarckana ,20,platy,75,,,,,,,,,,
Mycetophyllia,reesi,Mycetophyllia reesi ,20,platy,76,,,,,,,,,,
Porites-mass,aff.astreoides,Porites astreoides ,1.4,massive,70,,2:,stratigraphic,distributions,of,genera,,,,
Porites-mass,astreoides,Porites astreoides ,1.4,massive,70,,2:,stratigraphic,distributions,of,genera,,,,
Porites-mass,macdonaldi,Porites macdonaldi ,1.6,platy,NA,,,,,,,,,,
Porites-mass,portoricensis,Porites portoricensis ,1.8,branching,NA,,,,,,,,,,
Porites-mass,waylandi,Porites waylandi ,1.6,massive,NA,,,,,,,,,,
Porites-br,baracoaensis,Porites baracoaensis ,<1.2,intermediate branched,NA,,,,,,,,,,
Porites-br,branneri,Porites branneri ,1.8,encrusting,3,,,,,,,,,,
Porites-br,colonensis,Porites colonensis ,2,platy,25,,,,,,,,,,
Porites-br,convivatoris,Porites convivatoris,1.4,encrusting,NA,,,,,,,,,,
Porites-br,divaricata,Porites divaricata,1.6,branching,47,,,,,,,,,,
Porites-br,furcata,Porites furcata,1.8,intermediate branched,50,,,,,,,,,,
Porites-br,porites,Porites porites,2,branching,35,,,,,,,,,,
Pironastrea,anguillensis,Pironastraea anguillensis,NA,massive,NA,,,2: strati,,,,,,,
Placocyathus,alveolus,Placocyathus alveolus,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Placocyathus,barretti,Placocyathus barretti,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Placocyathus,costatus,Placocyathus costatus,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Placocyathus,trinitatis,Antillocyathus trinitatis,NA,massive,NA,,,,,,,,,,
Placocyathus,variabilis,Placocyathus variabilis,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Pocillopora,arnoldi,Pocillopora arnoldi,1.2,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Pocillopora,baracoaensis,Pocillopora baracoaensis,0.8,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Pocillopora,crassoramosa,Pocillopora crassoramosa,1,branching,NA,,,,,,,,,,
Psammocora,trinitatis,Psammocora trinitatis,3,massive,NA,,stratigraphic,distributions,of,genera,,,,,
Scolymia,cubensis,Scolymia cubensis,>20,massive,92,,solitary,coral,,,,,,,
Scolymia,lacera,Scolymia lacera,>20,massive,80,,solitary,coral,,,,,,,
Siderastrea,mendenhalli,Siderastrea mendenhalli,NA,NA,NA,,,,,,,,,,
Siderastrea,radians,Siderastrea radians,3.5,massive,3,,,,,,,,,,
Siderastrea,siderea,Siderastrea siderea,5,massive,8.5,,,,,,,,,,
Siderastrea,silecensis,Siderastrea silecensis,6.5,massive,NA,,stratigraphic,distributions,of,genera,,,,,
Solenastrea,bournoni,Solenastrea bournoni,2.5,massive,30,,,,,,,,,,
Solenastrea,hyades,Solenastrea hyades,10,massive,40,,,,,,,,,,
Stephanocoenia,duncani,Stephanocoenia duncani,2,massive,NA,,,,,,,,,,
Stephanocoenia,intersepta,Stephanocoenia intersepta,>2,massive,100,,,,,,,,,,
Stephanocoenia,spongiformis,Stephanocoenia spongiformis,2,massive,NA,,,,,,,,,,
